"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"TG(52:3)","TG(16:0/18:1(9Z)/18:2(9Z,12Z))","HMDB0005384","99647498","C00422","CCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC","1"
"TG(54:0)","TG(16:0/18:0/20:0)","HMDB0005366","9544140","C00422","CCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC","1"
"TG(54:1)","TG(16:0/18:0/20:1(11Z))","HMDB0005368","131750340","C00422","CCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCCCC","1"
"TG(54:5)","TG(16:0/18:1(9Z)/20:4(5Z,8Z,11Z,14Z))","HMDB0005385","131750354","C00422","CCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC","1"
"TG(54:6)","TG(16:0/18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))","HMDB0005391","131750359","C00422","CCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC","1"
"TG(56:0)","TG(16:0/20:0/20:0)","HMDB0005371","131750343","C00422","CCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC","1"
"TG(56:1)","TG(16:0/20:0/20:1(11Z))","HMDB0005372","131750344","C00422","CCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCCCC","1"
"TG(58:1)","TG(18:0/20:0/20:1(11Z))","HMDB0005400","131750366","C00422","CCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCCCC","1"
"TG(58:6)","TG(18:1(9Z)/20:1(11Z)/20:4(5Z,8Z,11Z,14Z))","HMDB0005458","131750413","C00422","CCCCCCCC/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"TG(58:7)","TG(18:2(9Z,12Z)/20:1(11Z)/20:4(5Z,8Z,11Z,14Z))","HMDB0005471","131750424","C00422","CCCCCCCC/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
