lipid,type,LogFC_cKO,PValue_cKO,FDR_cKO,LogFC_WT,PValue_WT,FDR_WT,min_PValue,min_FDR,LogFC_difference,LogFC_difference_abs,LogFC_injured_comparison,PValue_injured_comparison,FDR_injured_comparison,Min_PValue_all,min_FDR_all,LogFC_Healthy,Pvalue_healthy,FDR_healthy
[TG(48:1)]_FA18:1,TAG,-0.444281268,0.148951257,0.447751068,-0.43222053,0.186918722,0.560101856,0.148951257,0.447751068,-0.012060737,0.012060737,0.122499782,0.716075119,0.997493903,0.148951257,0.447751068,0.081761472,0.783923404,0.999751828
[TG(48:1)]_FA18:2,TAG,-0.398714293,0.194867073,0.506535724,-0.145342139,0.657631852,0.911239665,0.194867073,0.506535724,-0.253372154,0.253372154,-0.206435826,0.541437598,0.997493903,0.194867073,0.506535724,-0.008705255,0.976685096,0.999751828
[TG(48:2)]_FA16:0,TAG,-0.241494877,0.43115429,0.700801273,-0.082162733,0.802275602,0.972859803,0.43115429,0.700801273,-0.159332144,0.159332144,-0.038384255,0.909406601,0.997493903,0.43115429,0.700801273,0.06636948,0.823825222,0.999751828
[TG(48:2)]_FA16:1,TAG,-0.565481332,0.06687912,0.291889335,-0.270587745,0.408945312,0.766123934,0.06687912,0.291889335,-0.294893587,0.294893587,-0.024703817,0.941611708,0.997493903,0.06687912,0.291889335,0.211478785,0.478930608,0.999751828
[TG(48:2)]_FA18:0,TAG,-1.205729465,0.000122478,0.003395367,-0.644514286,0.049081783,0.405941598,0.000122478,0.003395367,-0.561215179,0.561215179,-0.219799809,0.515660027,0.997493903,0.000122478,0.003395367,0.281646442,0.3462261,0.999751828
[TG(48:2)]_FA18:1,TAG,-0.692900081,0.025155282,0.144836371,-0.574621653,0.079314372,0.411955309,0.025155282,0.144836371,-0.118278428,0.118278428,0.092300611,0.784101674,0.997493903,0.025155282,0.144836371,0.151002155,0.612870062,0.999751828
[TG(48:2)]_FA18:2,TAG,-0.346313011,0.259745294,0.562332752,-0.042927714,0.895947705,0.990933042,0.259745294,0.562332752,-0.303385297,0.303385297,-0.119981301,0.722343655,0.997493903,0.259745294,0.562332752,0.129120773,0.66517173,0.999751828
[TG(48:3)]_FA16:0,TAG,-0.597067628,0.053174854,0.251112796,-0.53167547,0.104473656,0.439587675,0.053174854,0.251112796,-0.065392158,0.065392158,0.079407666,0.813684989,0.997493903,0.053174854,0.251112796,0.093443102,0.754022798,0.999751828
[TG(48:3)]_FA16:1,TAG,-0.221822484,0.469493597,0.732116577,-0.066710301,0.838915435,0.983709516,0.469493597,0.732116577,-0.155112183,0.155112183,-0.036770007,0.913199648,0.997493903,0.469493597,0.732116577,0.063465149,0.831410709,0.999751828
[TG(48:3)]_FA18:0,TAG,-1.060729356,0.000688209,0.011018791,-0.679213056,0.038114173,0.398211027,0.000688209,0.011018791,-0.3815163,0.3815163,-0.060541694,0.857602221,0.997493903,0.000688209,0.011018791,0.266267194,0.373081731,0.999751828
[TG(48:3)]_FA18:1,TAG,-1.184863542,0.000158647,0.004042768,-0.656002071,0.045188161,0.398211027,0.000158647,0.004042768,-0.528861471,0.528861471,-0.211215993,0.532140272,0.997493903,0.000158647,0.004042768,0.258485861,0.387152927,0.999751828
[TG(48:3)]_FA18:2,TAG,-0.566016643,0.066624071,0.291626416,-0.338196374,0.301892777,0.67959923,0.066624071,0.291626416,-0.227820269,0.227820269,-0.012487347,0.970462127,0.997493903,0.066624071,0.291626416,0.154090208,0.605640659,0.999751828
[TG(50:0)]_FA16:0,TAG,-0.254484157,0.406875883,0.6882409,-0.214729928,0.51241346,0.842948297,0.406875883,0.6882409,-0.03975423,0.03975423,-0.008578554,0.979704749,0.997493903,0.406875883,0.6882409,-0.023698906,0.936576201,0.999751828
[TG(50:0)]_FA16:1,TAG,-0.305855465,0.319247287,0.623094119,-0.321760084,0.326032258,0.701630095,0.319247287,0.623094119,0.015904619,0.015904619,0.105944394,0.753133775,0.997493903,0.319247287,0.623094119,0.03561874,0.904862651,0.999751828
[TG(50:1)]_FA18:0,TAG,-0.660907475,0.032580219,0.172341299,-0.352634386,0.281696575,0.65787796,0.032580219,0.172341299,-0.308273089,0.308273089,-0.088181333,0.793894095,0.997493903,0.032580219,0.172341299,0.165537647,0.579183821,0.999751828
[TG(50:1)]_FA18:1,TAG,-0.523710126,0.089396064,0.348504968,-0.430395892,0.188790329,0.560752226,0.089396064,0.348504968,-0.093314234,0.093314234,0.012989737,0.969266414,0.997493903,0.089396064,0.348504968,0.052257001,0.860829117,0.999751828
[TG(50:1)]_FA18:2,TAG,-0.405640115,0.18728742,0.495851945,-0.246989502,0.451073686,0.789027725,0.18728742,0.495851945,-0.158650613,0.158650613,0.041538233,0.901918549,0.997493903,0.18728742,0.495851945,0.147357678,0.621458373,0.999751828
[TG(50:2)]_FA16:0,TAG,-0.299367946,0.329563791,0.630891298,0.045003188,0.89104753,0.990933042,0.329563791,0.630891298,-0.344371133,0.344371133,-0.01482157,0.964944753,0.997493903,0.329563791,0.630891298,0.275636598,0.356569976,0.999751828
[TG(50:2)]_FA16:1,TAG,-0.272919653,0.373878469,0.666580555,-0.186070529,0.570343181,0.879057915,0.373878469,0.666580555,-0.086849124,0.086849124,-0.0406468,0.904092897,0.997493903,0.373878469,0.666580555,-0.009025516,0.975827436,0.999751828
[TG(50:2)]_FA18:0,TAG,-0.68031262,0.027879521,0.156900912,-0.512159477,0.117824138,0.461172241,0.027879521,0.156900912,-0.168153143,0.168153143,0.077076103,0.819059208,0.997493903,0.027879521,0.156900912,0.188606435,0.527611343,0.999751828
[TG(50:2)]_FA18:1,TAG,-0.582316253,0.059245056,0.269574009,-0.27142655,0.407489761,0.764890878,0.059245056,0.269574009,-0.310889703,0.310889703,-0.110053364,0.744447038,0.997493903,0.059245056,0.269574009,0.146107236,0.624408715,0.999751828
[TG(50:2)]_FA18:2,TAG,-0.406846067,0.185985592,0.494530073,-0.188096616,0.566152837,0.875707943,0.185985592,0.494530073,-0.21874945,0.21874945,-0.083068588,0.805588686,0.997493903,0.185985592,0.494530073,0.079661918,0.78933594,0.999751828
[TG(50:3)]_FA16:0,TAG,-0.527947283,0.086861414,0.34287992,-0.150388731,0.646528044,0.908926523,0.086861414,0.34287992,-0.377558552,0.377558552,-0.049727974,0.882819104,0.997493903,0.086861414,0.34287992,0.275248174,0.357246909,0.999751828
[TG(50:3)]_FA16:1,TAG,-0.311997147,0.309670667,0.614231493,0.049642258,0.879903915,0.989912363,0.309670667,0.614231493,-0.361639405,0.361639405,-0.015787789,0.962661512,0.997493903,0.309670667,0.614231493,0.291463946,0.3297531,0.999751828
[TG(50:3)]_FA18:0,TAG,-1.224782199,9.64E-05,0.003070968,-0.690147707,0.035122677,0.398211027,9.64E-05,0.003070968,-0.534634493,0.534634493,-0.167526039,0.620020081,0.997493903,9.64E-05,0.003070968,0.307289725,0.304294228,0.999751828
[TG(50:3)]_FA18:1,TAG,-0.728898327,0.01860702,0.113692689,-0.495740688,0.130070233,0.483164118,0.01860702,0.113692689,-0.233157639,0.233157639,0.043462699,0.897394587,0.997493903,0.01860702,0.113692689,0.218649789,0.46419547,0.999751828
[TG(50:3)]_FA18:2,TAG,-0.418491733,0.173787443,0.479545411,0.043933368,0.893620391,0.990933042,0.173787443,0.479545411,-0.462425101,0.462425101,-0.233668315,0.489613573,0.997493903,0.173787443,0.479545411,0.171227616,0.566242105,0.999751828
[TG(50:4)]_FA16:0,TAG,-0.4422035,0.150847706,0.45073656,-0.421766748,0.197817896,0.570074812,0.150847706,0.45073656,-0.020436752,0.020436752,0.14299528,0.671108986,0.997493903,0.150847706,0.45073656,0.114230648,0.701758516,0.999751828
[TG(50:4)]_FA16:1,TAG,-0.549712439,0.074753751,0.316119675,-0.127329502,0.697864139,0.931598626,0.074753751,0.316119675,-0.422382937,0.422382937,-0.071945449,0.831175035,0.997493903,0.074753751,0.316119675,0.297660385,0.31962571,0.999751828
[TG(50:4)]_FA18:0,TAG,-1.126274432,0.00032207,0.006783015,-0.682394319,0.037222725,0.398211027,0.00032207,0.006783015,-0.443880113,0.443880113,-0.097944264,0.771704951,0.997493903,0.00032207,0.006783015,0.285783157,0.339222141,0.999751828
[TG(50:4)]_FA18:1,TAG,-1.191538491,0.0001461,0.003837043,-0.681300725,0.037526409,0.398211027,0.0001461,0.003837043,-0.510237765,0.510237765,-0.163767491,0.627872995,0.997493903,0.0001461,0.003837043,0.286683673,0.337708196,0.999751828
[TG(50:4)]_FA18:2,TAG,-0.544923223,0.077290122,0.321398089,-0.166295455,0.612044319,0.893012032,0.077290122,0.321398089,-0.378627769,0.378627769,-0.082273105,0.807409425,0.997493903,0.077290122,0.321398089,0.236904434,0.427866407,0.999751828
[TG(52:0)]_FA16:0,TAG,-0.357328047,0.244982939,0.551983044,-0.608072351,0.063347893,0.411955309,0.063347893,0.411955309,0.250744304,0.250744304,0.231348097,0.491823748,0.997493903,0.063347893,0.411955309,-0.067195659,0.821421292,0.999751828
[TG(52:0)]_FA16:1,TAG,-0.262887966,0.391625074,0.678544833,-0.491213267,0.133619287,0.493896476,0.133619287,0.493896476,0.228325301,0.228325301,0.240490387,0.47485277,0.997493903,0.133619287,0.493896476,-0.035858277,0.904154339,0.999751828
[TG(52:0)]_FA18:0,TAG,-0.50948858,0.098338988,0.367115875,-0.437471406,0.181614348,0.554536857,0.098338988,0.367115875,-0.072017174,0.072017174,0.039964223,0.905616266,0.997493903,0.098338988,0.367115875,0.057441831,0.847191343,0.999751828
[TG(52:0)]_FA18:1,TAG,-0.514795779,0.094922567,0.362497659,-0.463365963,0.157094684,0.52140363,0.094922567,0.362497659,-0.051429816,0.051429816,0.057494496,0.864533002,0.997493903,0.094922567,0.362497659,0.053805316,0.856752091,0.999751828
[TG(52:0)]_FA18:2,TAG,-0.143668468,0.639086219,0.842918124,-0.211921908,0.517959719,0.843770427,0.517959719,0.842918124,0.06825344,0.06825344,0.11632025,0.729840101,0.997493903,0.517959719,0.842918124,-3.42E-04,0.999083991,0.999751828
[TG(52:0)]_FA20:0,TAG,-0.34940002,0.255547657,0.558741272,-0.307422031,0.348080124,0.714781818,0.255547657,0.558741272,-0.041977989,0.041977989,0.052050151,0.877259481,0.997493903,0.255547657,0.558741272,0.039574327,0.894360468,0.999751828
[TG(52:0)]_FA20:4,TAG,-0.478218304,0.120546928,0.406438629,-0.210398594,0.520966643,0.84668892,0.120546928,0.406438629,-0.267819709,0.267819709,0.039759118,0.906098149,0.997493903,0.120546928,0.406438629,0.25758987,0.388793744,0.999751828
[TG(52:1)]_FA16:0,TAG,-0.076270197,0.803216849,0.929921105,-0.380801907,0.244988744,0.62213729,0.244988744,0.62213729,0.30453171,0.30453171,0.26911932,0.423821036,0.997493903,0.244988744,0.62213729,-0.077599089,0.794333092,0.999751828
[TG(52:1)]_FA16:1,TAG,-0.334947661,0.275614795,0.574635213,-0.582770903,0.075150266,0.411955309,0.075150266,0.411955309,0.247823243,0.247823243,0.234171573,0.486546564,0.997493903,0.075150266,0.411955309,-0.062275704,0.834306829,0.999751828
[TG(52:1)]_FA18:0,TAG,-0.72417352,0.019370257,0.1178751,-0.214117902,0.513617647,0.843341303,0.019370257,0.1178751,-0.510055618,0.510055618,-0.030782629,0.927284716,0.997493903,0.019370257,0.1178751,0.427230237,0.154094823,0.999751828
[TG(52:1)]_FA18:1,TAG,-0.482957025,0.116947399,0.399139894,-0.370040642,0.258594307,0.635502879,0.116947399,0.399139894,-0.112916383,0.112916383,-0.021060214,0.950209015,0.997493903,0.116947399,0.399139894,0.036218641,0.90326785,0.999751828
[TG(52:1)]_FA18:2,TAG,-0.371377691,0.227038863,0.536145928,-0.210146264,0.521474405,0.84668892,0.227038863,0.536145928,-0.161231428,0.161231428,-0.021936848,0.948140761,0.997493903,0.227038863,0.536145928,0.081429335,0.784780286,0.999751828
[TG(52:1)]_FA20:0,TAG,-0.462965373,0.132736715,0.428247547,-0.436211671,0.182879606,0.554536857,0.132736715,0.428247547,-0.026753702,0.026753702,0.126390655,0.70745843,0.997493903,0.132736715,0.428247547,0.097078717,0.744788654,0.999751828
[TG(52:1)]_FA20:4,TAG,-0.511935882,0.096754576,0.363972869,-0.311717654,0.341380432,0.709614627,0.096754576,0.363972869,-0.200218228,0.200218228,-0.026918721,0.936389696,0.997493903,0.096754576,0.363972869,0.11877671,0.690509338,0.999751828
[TG(52:2)]_FA16:0,TAG,-0.082300015,0.788032119,0.925019423,-0.106495161,0.745459864,0.954180282,0.745459864,0.925019423,0.024195146,0.024195146,0.174088532,0.605097813,0.997493903,0.605097813,0.925019423,0.105058033,0.724657913,0.999751828
[TG(52:2)]_FA16:1,TAG,-0.048665365,0.873630675,0.957389059,-0.396815,0.225684912,0.599768169,0.225684912,0.599768169,0.348149635,0.348149635,0.313622293,0.351199498,0.997493903,0.225684912,0.599768169,-0.077039539,0.795784196,0.999751828
[TG(52:2)]_FA18:0,TAG,-1.198998301,0.000133192,0.003625238,-0.627895571,0.055211676,0.411955309,0.000133192,0.003625238,-0.57110273,0.57110273,-0.147943252,0.661401067,0.997493903,0.000133192,0.003625238,0.365623452,0.222061561,0.999751828
[TG(52:2)]_FA18:1,TAG,-0.773187499,0.012645404,0.083761811,-0.185751877,0.571003821,0.879057915,0.012645404,0.083761811,-0.587435622,0.587435622,-0.042662352,0.89936397,0.997493903,0.012645404,0.083761811,0.49297532,0.100496531,0.999751828
[TG(52:2)]_FA18:2,TAG,-0.303647141,0.322731014,0.62494819,0.031145929,0.924461263,0.990933042,0.322731014,0.62494819,-0.33479307,0.33479307,-0.148320988,0.660591582,0.997493903,0.322731014,0.62494819,0.129695864,0.663772899,0.999751828
[TG(52:2)]_FA20:0,TAG,-0.789256001,0.01094701,0.074489429,-0.604442225,0.064941571,0.411955309,0.01094701,0.074489429,-0.184813776,0.184813776,0.021642739,0.948811287,0.997493903,0.01094701,0.074489429,0.149569968,0.616237354,0.999751828
[TG(52:2)]_FA20:4,TAG,-0.345392907,0.26101084,0.562332752,-0.144608005,0.659256568,0.911239665,0.26101084,0.562332752,-0.200784902,0.200784902,0.006967091,0.983514148,0.997493903,0.26101084,0.562332752,0.155159286,0.603150747,0.999751828
[TG(52:3)]_FA16:0,TAG,-0.098097975,0.748654252,0.908020366,-0.387332734,0.236982135,0.613279232,0.236982135,0.613279232,0.289234759,0.289234759,0.388699403,0.247789093,0.997493903,0.236982135,0.613279232,0.05528671,0.852854656,0.999751828
[TG(52:3)]_FA16:1,TAG,-0.073377291,0.810529614,0.933597152,-0.064598752,0.843948687,0.983709516,0.810529614,0.933597152,-0.00877854,0.00877854,0.170704995,0.612139729,0.997493903,0.612139729,0.933597152,0.133844504,0.653727237,0.999751828
[TG(52:3)]_FA18:0,TAG,-0.921462072,0.003073371,0.029492542,-0.602377956,0.065860887,0.411955309,0.003073371,0.029492542,-0.319084116,0.319084116,-0.031910094,0.924630398,0.997493903,0.003073371,0.029492542,0.231404905,0.438630326,0.999751828
[TG(52:3)]_FA18:1,TAG,-1.171022979,0.000187995,0.004524465,-0.572611726,0.080369377,0.411955309,0.000187995,0.004524465,-0.598411253,0.598411253,-0.162072595,0.631428421,0.997493903,0.000187995,0.004524465,0.379869771,0.204682645,0.999751828
[TG(52:3)]_FA18:2,TAG,-0.703694276,0.023007491,0.136675454,0.020919437,0.949216417,0.994176981,0.023007491,0.136675454,-0.724613713,0.724613713,-0.18536146,0.583367882,0.997493903,0.023007491,0.136675454,0.486150228,0.105247446,0.999751828
[TG(52:3)]_FA20:0,TAG,-0.952425381,0.002234552,0.022291188,-0.667323896,0.04161155,0.398211027,0.002234552,0.022291188,-0.285101485,0.285101485,0.019311108,0.954320818,0.997493903,0.002234552,0.022291188,0.24452758,0.413206232,0.999751828
[TG(52:3)]_FA20:4,TAG,-0.490932808,0.111084543,0.389983195,-0.287278038,0.380621215,0.74094923,0.111084543,0.389983195,-0.20365477,0.20365477,-0.035436406,0.916334445,0.997493903,0.111084543,0.389983195,0.112198845,0.706808059,0.999751828
[TG(52:4)]_FA16:0,TAG,0.327781027,0.28265267,0.585243495,0.205440524,0.532617812,0.849125522,0.28265267,0.585243495,0.122340502,0.122340502,0.072418814,0.82982538,0.997493903,0.28265267,0.585243495,-0.098466327,0.740757154,0.999751828
[TG(52:4)]_FA16:1,TAG,-0.100292301,0.743234893,0.907305046,-0.407707417,0.213192687,0.587028646,0.213192687,0.587028646,0.307415116,0.307415116,0.384428884,0.253028511,0.997493903,0.213192687,0.587028646,0.03500709,0.906487747,0.999751828
[TG(52:4)]_FA18:0,TAG,-0.447470134,0.146082387,0.444787943,-0.577936207,0.077601282,0.411955309,0.077601282,0.411955309,0.130466073,0.130466073,0.239840045,0.476049209,0.997493903,0.077601282,0.411955309,0.059043813,0.842988264,0.999751828
[TG(52:4)]_FA18:1,TAG,-0.883474541,0.004494692,0.039813927,-0.577470195,0.077838325,0.411955309,0.004494692,0.039813927,-0.306004346,0.306004346,-0.013752204,0.967472265,0.997493903,0.004494692,0.039813927,0.235968017,0.429687526,0.999751828
[TG(52:4)]_FA18:2,TAG,-1.03869782,0.000881362,0.012115712,-0.33637281,0.304509137,0.681390401,0.000881362,0.012115712,-0.702325011,0.702325011,-0.251966761,0.456380921,0.997493903,0.000881362,0.012115712,0.390646416,0.192216102,0.999751828
[TG(52:4)]_FA20:0,TAG,-0.505022491,0.101300202,0.372315271,-0.329993866,0.313794637,0.689795259,0.101300202,0.372315271,-0.175028625,0.175028625,-0.004789255,0.988668518,0.997493903,0.101300202,0.372315271,0.115617839,0.69832086,0.999751828
[TG(52:4)]_FA20:4,TAG,-0.41789448,0.17439871,0.479917038,-0.123444945,0.706654863,0.935423693,0.17439871,0.479917038,-0.294449535,0.294449535,-0.062834068,0.852274925,0.997493903,0.17439871,0.479917038,0.175418916,0.556800966,0.999751828
[TG(52:5)]_FA16:0,TAG,-0.268446356,0.381734779,0.669937824,-0.389377187,0.23452035,0.613279232,0.23452035,0.613279232,0.120930831,0.120930831,0.168746215,0.616240722,0.997493903,0.23452035,0.613279232,-0.00179819,0.995183728,0.999751828
[TG(52:5)]_FA16:1,TAG,0.34496945,0.258142599,0.561685277,0.192596715,0.558473406,0.873599465,0.258142599,0.561685277,0.152372735,0.152372735,0.096955374,0.77349392,0.997493903,0.258142599,0.561685277,-0.102854571,0.729637051,0.999751828
[TG(52:5)]_FA18:0,TAG,-0.852458701,0.006075753,0.051072494,-0.754873972,0.021226267,0.296969366,0.006075753,0.051072494,-0.097584729,0.097584729,-0.063802987,0.850027634,0.997493903,0.006075753,0.051072494,-0.02097873,0.94384496,0.999751828
[TG(52:5)]_FA18:1,TAG,-0.425741616,0.16651273,0.46848918,-0.607459195,0.063617051,0.411955309,0.063617051,0.411955309,0.181717579,0.181717579,0.277112403,0.410173731,0.997493903,0.063617051,0.411955309,0.04695487,0.874819193,0.999751828
[TG(52:5)]_FA18:2,TAG,-0.831390837,0.007420907,0.057827919,-0.414188349,0.205999678,0.582490436,0.007420907,0.057827919,-0.417202488,0.417202488,-0.114336514,0.734884747,0.997493903,0.007420907,0.057827919,0.245036403,0.412237979,0.999751828
[TG(52:5)]_FA20:0,TAG,-0.306092644,0.318878312,0.623094119,-0.222905346,0.496475096,0.827266735,0.318878312,0.623094119,-0.083187298,0.083187298,0.059868061,0.858996371,0.997493903,0.318878312,0.623094119,0.090016864,0.762757034,0.999751828
[TG(52:5)]_FA20:4,TAG,-0.54413242,0.077715781,0.322272921,-0.344728329,0.292640518,0.669851462,0.077715781,0.322272921,-0.199404091,0.199404091,0.048848917,0.884757049,0.997493903,0.077715781,0.322272921,0.190008168,0.524556157,0.999751828
[TG(52:6)]_FA16:0,TAG,-0.415358725,0.177011997,0.483552845,-0.475415072,0.146580242,0.511953094,0.146580242,0.483552845,0.060056347,0.060056347,0.16342916,0.627408244,0.997493903,0.146580242,0.483552845,0.05422418,0.855650177,0.999751828
[TG(52:6)]_FA16:1,TAG,-0.249183942,0.416685753,0.692576963,-0.434596438,0.184511207,0.556881607,0.184511207,0.556881607,0.185412496,0.185412496,0.176945249,0.599187938,0.997493903,0.184511207,0.556881607,-0.056194127,0.85029612,0.999751828
[TG(52:6)]_FA18:0,TAG,-0.639054872,0.038681,0.199673987,-0.505325535,0.122808121,0.47260606,0.038681,0.199673987,-0.133729337,0.133729337,0.011008562,0.973952502,0.997493903,0.038681,0.199673987,0.0893692,0.764408992,0.999751828
[TG(52:6)]_FA18:1,TAG,-1.01668473,0.001124134,0.013403197,-0.880058423,0.007272901,0.155536175,0.001124134,0.013403197,-0.136626307,0.136626307,-0.103941973,0.758168017,0.997493903,0.001124134,0.013403197,-0.022006922,0.941096912,0.999751828
[TG(52:6)]_FA18:2,TAG,-0.411892647,0.180625383,0.488079781,-0.346255551,0.290509506,0.665991931,0.180625383,0.488079781,-0.065637096,0.065637096,0.064002602,0.849364409,0.997493903,0.180625383,0.488079781,0.076936811,0.79637425,0.999751828
[TG(52:6)]_FA20:0,TAG,-0.196042579,0.522505468,0.77829919,0.048991906,0.88146505,0.989912363,0.522505468,0.77829919,-0.245034485,0.245034485,-0.129805735,0.700700427,0.997493903,0.522505468,0.77829919,0.056205835,0.850438717,0.999751828
[TG(52:6)]_FA20:4,TAG,-1.119072499,0.000350662,0.006843384,-0.607893442,0.063424384,0.411955309,0.000350662,0.006843384,-0.511179057,0.511179057,-0.178029758,0.598308876,0.997493903,0.000350662,0.006843384,0.272203401,0.362563828,0.999751828
[TG(54:0)]_FA16:0,TAG,-0.677526705,0.028515033,0.157646279,-0.425382233,0.193991462,0.567015008,0.028515033,0.157646279,-0.252144472,0.252144472,-0.002603948,0.993838475,0.997493903,0.028515033,0.157646279,0.195141669,0.513443531,0.999751828
[TG(54:0)]_FA16:1,TAG,-1.03896642,0.000878649,0.012115712,-0.391927975,0.231453175,0.609915251,0.000878649,0.012115712,-0.647038444,0.647038444,-0.28122975,0.40600293,0.997493903,0.000878649,0.012115712,0.302678839,0.311569477,0.999751828
[TG(54:0)]_FA18:0,TAG,-0.49099406,0.111036506,0.389983195,-0.689203331,0.03537274,0.398211027,0.03537274,0.389983195,0.198209271,0.198209271,0.26483863,0.43123973,0.997493903,0.03537274,0.389983195,0.019581021,0.947602627,0.999751828
[TG(54:0)]_FA18:1,TAG,-0.405426059,0.187512228,0.495851945,-0.457694075,0.162238879,0.533783742,0.162238879,0.495851945,0.052268016,0.052268016,0.159875651,0.634919382,0.997493903,0.162238879,0.495851945,0.059856649,0.840856917,0.999751828
