lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,AK0141,AK0145,AK0164,AK0174,AK0175,AK0144,AK0147,AK0154,AK0155,AK0166,AK0168,AK0139,AK0161,AK0170,AK0200,AK0202,AK0204,AK0135,AK0140,AK0142,AK0157,AK0169,Blank-1x
[TG(52:4)]_FA20:4,-0.123444945,8.624362097,0.141641195,0.706654863,0.935423693,11,11,WT,5xFAD,TAG,705557.7661,589457.2795,576872.2489,757097.2075,401124.1431,280197.6589,247669.5171,206791.8549,283569.5623,288864.7178,387100.3274,526643.7351,1372459.421,1656498.989,1634701.718,1064777.208,1395984.228,1183598.684,794521.4118,870967.8513,961611.1125,996639.3405,62919.88452
PE(O-42:4),-0.123918165,6.631379817,0.142721685,0.705590142,0.935423693,11,11,WT,5xFAD,PE,219335.0554,156679.43,66986.98445,158730.9116,115426.5472,38040.86252,81179.04614,91902.60663,94368.84692,25939.16167,46440.96326,1176950.594,1122353.148,1010147.767,1157966.299,418789.3703,1055338.588,467180.3089,649224.784,624531.4252,588891.096,497333.0801,26252.08164
PG(O-40:4),0.123737243,7.364192803,0.141572299,0.706722911,0.935423693,11,11,WT,5xFAD,PG,330975.0657,213352.5959,238195.5552,198688.5739,148247.152,102920.5673,94601.10669,131965.1298,122520.6071,124328.8281,149865.4709,101549.8874,111585.1286,108081.5473,97890.1269,137038.3307,83484.42445,148472.2914,36121.8223,34337.84276,33614.64249,125818.888,35054.36237
LPC(13:0),-0.122599177,6.845397352,0.139699061,0.70858037,0.937053723,11,11,WT,5xFAD,PC,196087.0533,186577.8942,170060.5518,183503.1271,117920.9892,94818.50604,78540.36664,15787.18109,103597.1877,84019.74631,121215.6893,89339.26605,155954.8706,138765.7493,163132.7922,56706.64413,175587.1936,131636.3698,94183.76682,85087.32562,86814.18622,72059.20442,24540.24199
[TG(54:3)]_FA16:0,0.119949468,8.51384541,0.133053893,0.715286437,0.941080021,11,11,WT,5xFAD,TAG,690007.0275,446153.993,679267.5393,379626.8009,465509.1851,391695.2915,236380.4218,141170.0883,163652.1514,452736.3721,431792.2709,81576.90613,213082.5151,201056.8124,296934.3584,58636.60449,273809.6208,199574.575,138469.5692,122029.6492,135157.9873,67432.6653,18350.60156
CerP(d18:1/12:0),0.12016996,4.698441516,0.13350953,0.714820633,0.941080021,11,11,WT,5xFAD,Cer,26779.80197,20406.62147,19951.20126,51436.8239,51188.56448,39244.02239,13081.98087,11449.30076,17283.24148,13416.10083,29662.36204,312449.402,247107.9362,165877.0724,305681.8016,182294.5929,266386.0966,196694.3347,125647.6686,124589.6492,110220.5876,211681.033,3562.300259
PE(O-28:0),-0.119602115,6.929354217,0.132946032,0.715396836,0.941080021,11,11,WT,5xFAD,PE,253191.2208,224770.6176,103002.5875,204854.2946,143403.1113,52510.24377,90888.84589,116348.6486,132454.7697,45360.36312,57365.1048,222849.5945,224529.4958,174933.0898,216662.914,125723.4095,202492.1777,152355.9735,93315.12775,90086.84644,84735.62613,190488.2145,19219.20128
PE(O-34:4),0.11991295,6.446881738,0.132963864,0.715378581,0.941080021,11,11,WT,5xFAD,PE,160990.2504,149801.5115,38673.38269,128324.6891,102472.3469,24430.50171,78835.76459,106748.5677,90169.8266,21328.30157,37090.5025,593517.6614,497074.0762,367632.2449,501957.1212,365470.1652,445069.1289,412980.8359,231659.7543,246594.6165,196423.1532,745350.8788,19748.64154
PG(40:6),-0.120317248,8.973584792,0.134548462,0.713761881,0.941080021,11,11,WT,5xFAD,PG,1431211.599,690674.2917,896097.2603,559769.3616,512552.6581,358961.7446,267519.5192,233576.9153,290922.2816,586836.5181,526840.924,1055011.573,1068373.348,984740.0437,1039988.715,459047.3138,1155100.24,479322.4362,798082.3577,750341.553,781783.0134,490554.6734,40265.44312
PG(O-40:5),-0.120559427,7.920250706,0.135089103,0.713212759,0.941080021,11,11,WT,5xFAD,PG,575379.5619,298821.6469,441057.6267,343975.1997,236012.2583,146226.0885,144741.1904,140572.6895,211463.7543,169678.0924,230485.98,221691.6757,202565.9741,166383.4911,208293.7143,156127.1715,248914.0182,175368.6295,138206.8092,122934.2678,143843.3502,165514.5334,35816.88251
PS(P-36:5),0.119487609,8.038198055,0.132031639,0.716334797,0.941486559,11,11,WT,5xFAD,PS,396430.6265,348013.8685,357975.0681,398738.6727,300777.6426,197309.5734,175521.8333,157597.1304,207453.8949,217193.4769,250454.8361,255613.8195,234537.3556,170029.9127,235354.7987,172621.1726,228621.098,202113.0754,139108.0499,130792.2486,120735.0478,233779.8154,43885.58337
PI(36:7),0.118741399,7.216902191,0.130387382,0.718030726,0.942887716,11,11,WT,5xFAD,PI,85294.94647,256628.0002,284054.0803,305901.8007,88912.94592,52328.68378,140741.4704,131157.41,167791.7723,55593.82326,99479.76587,314030.1418,291595.3404,225912.4769,317209.2626,180770.9136,281698.6021,222981.7165,152509.5716,156164.6717,131869.8689,367763.7864,29079.44165
PI(O-34:1) | PI(P-34:0),0.118385558,8.312558734,0.129611663,0.71883502,0.943116586,11,11,WT,5xFAD,PI,145742.5117,751100.4004,613756.7731,722923.4645,92939.82608,171456.4129,323115.443,368850.1267,386111.9099,63928.08466,88179.42551,220784.4738,206260.5361,169263.3543,198843.2361,154327.1099,253910.614,173112.1506,134915.0287,125389.1472,144012.3108,166375.1312,32186.68198
PE(36:8),0.117530143,7.4712352,0.127745677,0.720780945,0.944014938,11,11,WT,5xFAD,PE,321520.0428,280980.7811,96328.62729,225758.8353,281051.1368,59134.22385,192110.4948,215961.9323,183961.1551,53376.28415,55769.42407,132656.6678,259130.6569,261072.9023,289924.7212,103868.1474,310544.8263,221633.6565,175640.4314,148908.2907,146320.5682,123055.6689,24435.8418
PS(44:6),-0.117243436,7.146391326,0.127750295,0.720776109,0.944014938,11,11,WT,5xFAD,PS,308769.8818,183970.0118,219482.4566,216648.9995,137318.8694,85803.98544,76937.98499,87467.94659,110620.4667,103009.9276,122573.5884,462670.8504,399128.3516,309272.5239,413979.6885,290573.1785,383666.4659,339787.1479,184058.6143,228507.7372,156659.9094,569712.3234,30051.76221
PE(22:6),0.11702638,6.694303729,0.126650625,0.721930381,0.944693864,11,11,WT,5xFAD,PE,185369.3333,146236.05,94811.00739,145365.7082,106951.7467,41309.26326,101010.6283,78351.38568,102948.0668,48241.90318,61085.68434,540167.7228,530907.3317,394384.9088,252681.9331,192077.9532,495710.954,196158.9533,338770.2077,306422.2433,122395.5291,212628.3136,28280.58208
LPG(20:3) | PG(20:3),-0.116442235,7.246258055,0.126008909,0.72260657,0.94475287,11,11,WT,5xFAD,PG,391082.0985,156395.2334,228306.9178,229120.8538,119571.0273,101841.2471,87870.60629,75433.0658,127258.8685,96552.06598,122202.1483,558185.705,578685.658,429507.1523,537621.3007,372190.1901,479091.3324,429670.968,239451.0323,226135.9153,213988.0602,466298.4488,42300.48352
PS(P-20:0),0.116074946,7.719615257,0.124607459,0.724090077,0.945866357,11,11,WT,5xFAD,PS,379714.7032,242361.9951,320232.3787,294420.0594,190972.274,147723.3093,127734.6895,128680.0099,184082.8101,147311.291,196976.7335,339686.9026,224802.5169,203886.6773,77161.06557,82977.02632,282217.2829,103931.1684,177545.4525,192987.6931,90807.16705,143792.4299,49323.04358
LPG(18:1) | PG(18:1),0.115479813,7.374384843,0.123333716,0.72544656,0.946812119,11,11,WT,5xFAD,PG,309186.3813,178334.8116,253414.0382,213169.0198,160248.7505,112272.4283,97207.98788,87001.2265,152793.6689,125382.7891,161674.9523,195266.5152,195897.373,150851.733,202406.5736,138496.3091,193306.635,146995.2499,96110.06648,89676.90678,83037.7053,149343.7102,40653.2627
LPC(4:0),0.114772985,7.827086307,0.121831834,0.727056148,0.948086284,11,11,WT,5xFAD,PC,268305.0559,296798.5837,275788.0559,343931.5662,186546.4133,174970.0752,170485.9116,32714.58255,191628.5371,161781.4314,205893.5313,417451.0936,404467.3086,320634.3245,414116.5115,274440.0809,376452.949,359895.1823,236140.9772,210775.7943,225167.0568,359104.3685,94658.54596
LPC(12:0),-0.113206999,6.601568845,0.119094437,0.730018728,0.950524693,11,11,WT,5xFAD,PC,162649.7705,140538.3498,132207.011,143506.8698,98689.84778,75402.60492,63856.22339,14908.18102,83034.08456,70376.56482,88066.66681,481591.215,447224.6872,418272.254,170307.4916,195972.6748,375208.9609,150347.392,346377.5262,261572.9994,115836.7491,145528.4511,30967.96178
PG(30:1),0.113396334,7.980264091,0.118931753,0.73019599,0.950524693,11,11,WT,5xFAD,PG,478211.0222,357674.726,364999.3799,389405.1531,224489.035,198811.9907,139330.5909,177373.2321,238309.2737,187973.7362,231833.8949,786326.5769,773028.6512,771722.6278,760548.7628,562044.5781,617291.7023,613459.4459,504235.3096,439739.9479,452517.2816,663562.593,32538.48233
PI(44:6),-0.112557143,5.711856154,0.117722617,0.731517742,0.951417949,11,11,WT,5xFAD,PI,52774.7042,94849.76624,111973.9465,110330.0673,31195.62177,25334.80149,43403.9429,42881.12299,53582.02374,20334.54153,28386.12195,115638.5868,284080.723,243525.5966,288460.4023,59102.54382,330053.7643,205014.9747,135311.6697,121330.6885,130165.3108,47532.80284,9200.840603
[TG(54:4)]_FA18:0,0.109105586,8.903114226,0.110115084,0.740013152,0.951801076,11,11,WT,5xFAD,TAG,934949.2396,696758.6909,846332.8594,561073.8945,501683.2995,517068.2803,293379.2972,191982.8961,234935.4815,610090.428,507451.5205,2279673.076,2200636.898,2088645.179,2153481.652,1019667.186,2029166.786,1101089.132,1702134.418,1504908.647,1431642.907,1071455.979,26973.1216
LPG(16:1) | PG(16:1),0.109279993,8.020578561,0.110465449,0.73961485,0.951801076,11,11,WT,5xFAD,PG,487358.8674,329720.1045,411879.446,352255.5468,227949.4978,162480.9922,145412.029,171414.9928,238022.5568,179667.9514,279030.1589,269670.8192,217877.6379,175567.3539,82228.66589,71732.80472,202660.9921,64704.84373,141933.3691,130893.829,59365.00375,97164.06657,49891.12341
