"lipid","type","LogFC_cKO","PValue_cKO","FDR_cKO","LogFC_WT","PValue_WT","FDR_WT","min_PValue","min_FDR","LogFC_difference","LogFC_difference_abs","LogFC_injured_comparison","PValue_injured_comparison","FDR_injured_comparison","Min_PValue_all","min_FDR_all","LogFC_Healthy","Pvalue_healthy","FDR_healthy"
"PG(40:0) | PG(P-42:6)_2","PG",-0.163800971,0.592951803,0.82070172,-0.697339702,0.03326623,0.398211027,0.03326623,0.398211027,0.533538731,0.533538731,0.544091159,0.105643882,0.997493903,0.03326623,0.398211027,-0.051587786,0.862443597,0.999751828
"PG(40:7)","PG",0.793263931,0.009341828,0.066912518,0.35901378,0.276679009,0.650217389,0.009341828,0.066912518,0.434250151,0.434250151,0.148859358,0.658440966,0.997493903,0.009341828,0.066912518,-0.333605041,0.261624858,0.999751828
"PG(40:8)","PG",0.909234329,0.00291016,0.028106513,0.174350908,0.596240901,0.887249134,0.00291016,0.028106513,0.734883421,0.734883421,0.403870216,0.229790582,0.997493903,0.00291016,0.028106513,-0.377519451,0.203900482,0.999751828
"PG(42:9)","PG",0.783461689,0.010250256,0.071022702,1.09265667,0.001141809,0.06330697,0.001141809,0.06330697,-0.309194982,0.309194982,-0.425648839,0.2096594,0.997493903,0.001141809,0.06330697,-0.173218463,0.560329485,0.999751828
"PG(O-20:0)","PG",2.59360948,2.65e-16,9.93e-14,0.508745737,0.12426149,0.474261525,2.65e-16,9.93e-14,2.084863744,2.084863744,2.115571348,7.92e-10,4.48e-07,2.65e-16,9.93e-14,0.007734121,0.979289314,0.999751828
"PG(O-38:0)","PG",1.135638249,0.000207047,0.004768453,0.495504429,0.134250508,0.495007415,0.000207047,0.004768453,0.640133819,0.640133819,0.31932563,0.342495396,0.997493903,0.000207047,0.004768453,-0.366838476,0.217004328,0.999751828
"PG(O-38:1)","PG",0.958014135,0.001715186,0.018472182,0.383711563,0.245179411,0.62213729,0.001715186,0.018472182,0.574302571,0.574302571,0.215016472,0.522936964,0.997493903,0.001715186,0.018472182,-0.406664152,0.171089607,0.999751828
"PG(O-38:4)","PG",0.649463656,0.033232761,0.175174098,0.450736864,0.172746789,0.545946762,0.033232761,0.175174098,0.198726791,0.198726791,-0.044803083,0.894346338,0.997493903,0.033232761,0.175174098,-0.299526729,0.313581485,0.999751828
"PG(O-40:0)","PG",0.816716523,0.007455436,0.057827919,0.361416996,0.273496701,0.649452499,0.007455436,0.057827919,0.455299527,0.455299527,0.15034603,0.655245841,0.997493903,0.007455436,0.057827919,-0.353800669,0.233809378,0.999751828
"PG(O-40:1)","PG",1.049611302,0.000598186,0.010535118,0.390812156,0.236614461,0.613279232,0.000598186,0.010535118,0.658799146,0.658799146,0.245124982,0.46636387,0.997493903,0.000598186,0.010535118,-0.462501729,0.11951778,0.999751828
"PG(O-42:2)","PG",0.627849081,0.039543079,0.203422645,0.91927911,0.005950368,0.141392084,0.005950368,0.141392084,-0.291430029,0.291430029,-0.390465075,0.249507083,0.997493903,0.005950368,0.141392084,-0.154447467,0.603639386,0.999751828
"PG(P-16:0)","PG",0.827713652,0.006809075,0.054509012,0.82524374,0.013478477,0.21874257,0.006809075,0.054509012,0.002469912,0.002469912,-0.011457825,0.97294291,0.997493903,0.006809075,0.054509012,-0.083153098,0.780472117,0.999751828
"PI(14:1)","PI",0.948217917,0.001921871,0.019841657,1.650406661,1.44e-06,0.000196553,1.44e-06,0.000196553,-0.702188744,0.702188744,-0.132076471,0.695850443,0.997493903,1.44e-06,0.000196553,0.501170017,0.095286762,0.999751828
"PI(30:3)","PI",-0.688183861,0.026152035,0.14942594,-0.279174216,0.394230569,0.753806932,0.026152035,0.14942594,-0.409009644,0.409009644,-0.221042919,0.513312565,0.997493903,0.026152035,0.14942594,0.090748358,0.760890516,0.999751828
"PI(32:3)","PI",-0.733601738,0.017876964,0.11058601,-0.322886783,0.324346832,0.701630095,0.017876964,0.11058601,-0.410714955,0.410714955,-0.264059178,0.435162329,0.997493903,0.017876964,0.11058601,0.04898165,0.869467789,0.999751828
"PI(32:4)","PI",-0.663897101,0.031821149,0.170129499,-0.019090619,0.953632689,0.994176981,0.031821149,0.170129499,-0.644806482,0.644806482,-0.532105112,0.117602813,0.997493903,0.031821149,0.170129499,0.010870947,0.970893667,0.999751828
"PI(34:5)","PI",-1.142290323,0.000266173,0.005870329,-0.523317729,0.110035157,0.449763995,0.000266173,0.005870329,-0.618972594,0.618972594,-0.566979405,0.095653658,0.997493903,0.000266173,0.005870329,-0.0485388,0.870504594,0.999751828
"PI(38:0) | PI(P-40:6)","PI",-0.77561168,0.012375476,0.082705746,-0.409207237,0.211512367,0.587028646,0.012375476,0.082705746,-0.366404444,0.366404444,-0.069121759,0.83770164,0.997493903,0.012375476,0.082705746,0.208808675,0.484482561,0.999751828
"PI(38:0) | PI(P-40:6)_2","PI",-0.854286881,0.005969788,0.050880794,-0.310502692,0.3432623,0.710180556,0.005969788,0.050880794,-0.543784188,0.543784188,-0.298967437,0.377186015,0.997493903,0.005969788,0.050880794,0.151956565,0.610631827,0.999751828
"PI(38:7)","PI",1.913078671,7.23e-10,1.2e-07,1.84366851,9.01e-08,1.5e-05,7.23e-10,1.2e-07,0.069410161,0.069410161,0.011766742,0.972158574,0.997493903,7.23e-10,1.2e-07,-0.134977081,0.650070989,0.999751828
"PI(40:0)","PI",-1.065812713,0.000649589,0.010819456,-0.655305768,0.045415047,0.398211027,0.000649589,0.010819456,-0.410506945,0.410506945,-0.095605543,0.777001008,0.997493903,0.000649589,0.010819456,0.225569704,0.450219965,0.999751828
"PI(40:1)","PI",-0.823550788,0.007987349,0.060793515,-0.568909275,0.082348909,0.411955309,0.007987349,0.060793515,-0.254641513,0.254641513,0.048004239,0.886739156,0.997493903,0.007987349,0.060793515,0.217302468,0.466947501,0.999751828
"PI(42:11)","PI",-1.086260375,0.000514177,0.009621523,-0.600362625,0.066771775,0.411955309,0.000514177,0.009621523,-0.48589775,0.48589775,-0.135009657,0.689338499,0.997493903,0.000514177,0.009621523,0.267945978,0.370090558,0.999751828
"PI(42:3)","PI",-0.668453118,0.030678107,0.165198296,-0.54468339,0.096258088,0.431347405,0.030678107,0.165198296,-0.123769729,0.123769729,0.228161023,0.497822867,0.997493903,0.030678107,0.165198296,0.307324476,0.304243664,0.999751828
"PI(O-34:1) | PI(P-34:0)","PI",-0.673782402,0.029391655,0.160581414,0.118385558,0.71883502,0.943116586,0.029391655,0.160581414,-0.79216796,0.79216796,-0.511863441,0.132050086,0.997493903,0.029391655,0.160581414,0.175956802,0.555595638,0.999751828
"PI(O-34:3) | PI(P-34:2)","PI",-0.609586002,0.048440699,0.235104697,-0.05845406,0.858638605,0.989912363,0.048440699,0.235104697,-0.551131943,0.551131943,-0.365146117,0.281329144,0.997493903,0.048440699,0.235104697,0.090339767,0.761932693,0.999751828
"PI(O-40:5) | PI(P-40:4)","PI",-1.501066443,2.2e-06,0.000173062,-0.634840896,0.052575235,0.411955309,2.2e-06,0.000173062,-0.866225547,0.866225547,-0.459193915,0.176209647,0.997493903,2.2e-06,0.000173062,0.305217775,0.307548963,0.999751828
"PI(O-40:6) | PI(P-40:5)","PI",-1.321998435,2.72e-05,0.001771267,-0.483971778,0.139437358,0.505173326,2.72e-05,0.001771267,-0.838026656,0.838026656,-0.49004986,0.149151229,0.997493903,2.72e-05,0.001771267,0.250416468,0.402085396,0.999751828
"PI(O-42:4)","PI",-0.776998285,0.012224014,0.082059859,-0.61862208,0.05890716,0.411955309,0.012224014,0.082059859,-0.158376205,0.158376205,0.15319979,0.649139203,0.997493903,0.012224014,0.082059859,0.234646312,0.432270988,0.999751828
"PI(O-42:6)","PI",-1.453986681,4.36e-06,0.000310512,-0.925940174,0.004756188,0.121224858,4.36e-06,0.000310512,-0.528046507,0.528046507,-0.071090183,0.833148223,0.997493903,4.36e-06,0.000310512,0.368534571,0.218424752,0.999751828
"PI(P-42:4)","PI",-0.619277694,0.045024663,0.222905949,-0.450437716,0.169012945,0.5434506,0.045024663,0.222905949,-0.168839978,0.168839978,0.024161276,0.942864416,0.997493903,0.045024663,0.222905949,0.110539805,0.710944225,0.999751828
"PI(P-42:6)","PI",-1.168678286,0.000193431,0.004524465,-0.577161667,0.07799399,0.411955309,0.000193431,0.004524465,-0.59151662,0.59151662,-0.285103224,0.399597203,0.997493903,0.000193431,0.004524465,0.21349299,0.474762509,0.999751828
"PS(22:7)","PS",1.233421489,5.7e-05,0.002335526,0.335929493,0.308556828,0.682110134,5.7e-05,0.002335526,0.897491995,0.897491995,0.99643791,0.003107979,0.357895714,5.7e-05,0.002335526,0.062667215,0.833498287,0.999751828
"PS(32:5)","PS",-0.672141917,0.029783529,0.161543271,0.278268696,0.398515755,0.756228352,0.029783529,0.161543271,-0.950410612,0.950410612,-0.074470988,0.825349278,0.997493903,0.029783529,0.161543271,0.818915816,0.006766376,0.723518934
