Sample,WT_injured_1,WT_injured_2,WT_injured_3,WT_injured_4,WT_injured_5,WT_injured_6,WT_healthy_1,WT_healthy_2,WT_healthy_3,WT_healthy_4,WT_healthy_5,Blank-1x
SM(d16:1/24:0),3365955.089,2507140.248,769683.1595,1681233.002,3498321.52,3072172.936,4028423.297,2774014.312,4347548.56,2310219.505,2798244.255,37363.34271
[TG(60:1)]_FA16:0,51026.44392,34189.48201,29721.46217,46764.20357,51218.54407,64217.2652,191458.075,116710.7684,146079.4499,125260.3276,81612.80582,11866.84082
[TG(60:5)]_FA18:0,89151.88678,65676.54404,49310.0835,91647.78604,103468.6272,133066.3695,370082.4067,220336.7368,281004.2589,229619.5348,157183.3693,14399.04106
[TG(48:3)]_FA16:0,80473.18567,60268.76349,61187.7843,71287.60596,92299.48618,106060.8071,268677.9779,285095.7397,196295.4545,245802.3587,131783.2689,29251.94206
LPC(21:4),2045753.989,1805853.657,1104972.205,1768368.394,2483742.105,2201390.005,2410965.668,2766103.726,1975965.78,2776862.471,2502274.928,1066194.002
PC(O-38:6),3425961.367,2579922.563,782541.2547,1748851.58,3523953.479,3172190.647,4137454.091,2843366.451,4393889.896,2404655.606,2879391.247,49349.96326
19:0 Campesteryl ester_simulated | CE(20:0) | 18:0 Sitosteryl ester,2018606.58,1791661.078,1329264.899,2230176.866,2024962.348,2612411.429,4304577.845,2968690.886,3709778.176,1370820.973,1475007.379,112414.7485
PC(38:3),3996423.989,2995472.653,878579.2801,2073372.986,4079632.436,4047456.447,4460486.321,2976997.471,5163923.983,2519005.294,4182469.097,51096.50342
PC(38:4),4574224.573,3426460.719,1013778.578,2370048.217,4703490.065,4561576.451,5231777.562,3365728.645,6048744.148,2846330.638,4660397.838,57586.38458
PS(38:7),667582.8261,565793.9218,350496.9626,640270.494,759849.12,791198.2848,1171073.604,441808.6572,1018905.626,578426.9584,911720.4462,48050.22308
[TG(60:2)]_FA16:0,46554.38269,34372.0228,30052.88208,48912.00386,49359.80328,65933.26454,190564.9341,118033.888,142314.409,120119.6087,81414.92535,11103.90083
LPS(20:5) | PS(20:5),95486.00684,93130.58691,108484.1874,99807.32605,101797.0881,110607.9485,169998.0929,155882.7908,135690.8909,140383.6498,104989.6477,70418.5249
[TG(60:12)]_FA16:1,52929.06335,39823.56282,39523.26257,52171.5441,58757.04401,76007.46574,230628.2959,133202.13,162609.4331,135364.6098,97717.92749,14104.6411
LPE(16:0),79992.34532,131612.1282,84849.96667,142702.3089,61943.04409,288814.9644,409889.9933,458109.9629,316698.7753,471579.617,177252.2938,22936.18158
PC(50:0),47304.50305,35899.86245,8820.360653,51371.08361,45353.50352,60687.7041,126174.47,132297.4089,114598.3275,134341.1276,63712.56506,7126.98048
PI(34:5),72856.60651,131946.4887,235341.3769,156895.991,29931.48222,37804.12248,82109.46547,662182.5233,530662.7854,456465.3182,43908.30333,84625.22752
CE(12:0)_2,220903.7758,224316.6367,219080.6549,260093.6592,233148.5767,278028.1185,591483.5,385664.7284,456787.8705,147104.2306,141982.0102,35601.32248
PC(O-38:4),3541998.209,2642081.43,800752.5095,1778478.86,3575412.463,3408528.137,4339496.61,2901138.943,4645870.266,2429533.532,2998527.381,53607.26337
PC(O-38:5),3489354.248,2644726.128,753606.6892,1765852.185,3538166.664,3218808.998,4215223.229,2860646.401,4550376.976,2384205.007,2949065.008,53992.12372
[TG(58:4)]_FA16:0,60788.82333,46042.64359,37112.30276,57006.78378,65517.96503,82759.72571,246123.1178,142932.9305,188601.8329,149494.7306,99709.30795,15429.46101
[TG(60:5)]_FA20:4,196872.4506,150750.9915,101757.6267,236665.6755,180726.6712,238541.874,713963.7399,404255.0463,643147.886,524456.0403,315050.3267,15893.4211
PS(O-40:0),487790.1672,454481.5393,299653.6829,423535.2902,616229.8435,690024.0706,884349.9277,376134.604,815630.2623,472820.6093,715546.7493,49734.62341
[TG(58:0)]_FA18:1,495469.1268,390736.2269,242334.7373,551073.4142,431324.5653,574211.7543,1508424.008,1270851.56,1319581.405,1387510.512,782722.7031,20367.22137
CE(12:0),227487.0359,229821.158,223862.7173,269168.7803,236617.2966,295166.4402,598244.0634,398535.7491,455271.3133,148931.13,168155.6323,39510.12279
[TG(58:1)]_FA20:4,113215.4877,93615.30769,88671.80743,120666.368,118184.2287,165803.9333,474441.3559,314875.1653,355694.7251,334422.5621,188212.6511,18581.64145
PC(40:6),2392760.008,1781074.586,285923.659,1315134.452,2480570.534,2549950.098,2599071.537,1918259.62,2969278.124,1619795.798,2428746.809,25170.64195
PI(34:1),172973.3947,341171.5051,289293.8228,386758.3213,95420.44562,180037.6743,132617.4883,467968.8918,508598.7383,490293.418,152874.9916,204035.6396
[TG(54:1)]_FA20:4,178258.3154,144155.4517,105655.988,225666.9972,176453.494,234442.1963,669759.149,394894.3446,609056.3007,495607.4538,321206.5836,17521.38136
PS(34:5),190264.8131,178997.4534,381905.7463,213884.9169,196246.0741,317171.626,340854.3597,434462.0593,326417.8265,457717.9146,213670.7153,87353.44641
LPG(20:1) | PG(20:1),153073.49,143178.0095,162440.0713,169398.7947,152002.1504,175068.0927,282337.4587,225360.8931,222703.0344,216645.797,167496.3115,88001.22632
[TG(50:2)]_FA18:0,241074.6194,139247.2718,129908.209,204070.9727,242711.5189,251137.1175,629685.7257,608288.1833,507873.6697,742100.2184,337885.9415,28638.22186
Cer(d18:1/24:1(15Z)),6178.380451,4314.240288,5393.520416,5571.880398,4931.820366,6844.980476,7137.420509,10010.98077,6387.160492,6909.300545,6979.820419,3519.160255
[TG(54:6)]_FA20:4,379605.491,272960.2978,205595.8754,303935.5233,342116.3998,511206.4944,988579.8113,1128760.405,766066.4639,1192970.122,577536.4025,33546.82233
PC(52:4),37214.16282,27893.26184,7803.980545,40837.44324,31969.94272,44266.62291,96943.78783,94093.54712,86675.66531,100729.9477,52638.18459,7449.30048
PS(O-38:0),597393.4637,510634.3168,325505.043,569114.7865,704643.7654,717478.6399,1078910.948,411146.4543,952621.1803,524850.0958,831268.8585,46559.18347
Cer(d18:2/20:1),7116.620541,5174.980354,5174.420364,5836.360416,6126.860443,6024.520473,6281.240398,6785.900478,7475.860527,8148.940609,10185.36072,3516.360249
LPE(20:5),124480.2092,233306.2153,244297.7778,253501.6992,131116.6492,142544.089,350301.5278,303741.499,152696.6511,281832.1001,252222.2583,211274.1569
[TG(52:6)]_FA18:0,155606.9727,113830.4076,96939.96631,144878.6886,168316.7112,213134.2385,446527.1933,482702.3991,373210.6266,497275.5378,260792.0214,28443.24203
LPE(22:1),45127.60365,87378.28668,79822.3454,109754.6063,42938.04279,56394.14468,309904.8038,217333.9745,141386.9317,249014.475,122272.4693,161333.5689
[TG(60:1)]_FA18:0,78345.52618,59013.08499,44165.10341,71990.3438,82002.34601,106746.6681,291752.9034,184139.8131,225209.1184,192505.8328,132359.4507,12329.60088
LPG(13:0) | PG(12:0)_2,73240.60553,70776.16568,66803.08447,77886.20532,78184.34509,85185.74536,112291.6077,106959.4675,106034.7679,116446.3483,81508.90607,45520.44366
PG(O-20:0),135874.2905,109801.8886,86562.4458,125636.7875,111012.5295,133783.1288,210765.3553,139410.3881,177893.5135,162655.6896,122257.3676,89735.94641
[TG(60:4)]_FA18:0,78237.48541,62109.32419,45512.24303,76249.46564,88241.34573,111375.1099,316420.3196,193561.2556,221759.5331,203682.0764,136565.57,12873.22086
[TG(60:11)]_FA20:0,91586.26542,72682.60536,77876.5265,102219.346,97309.74785,138600.7891,388612.9653,252417.8387,296552.2007,267593.5394,160843.9919,17103.82121
[TG(54:4)]_FA16:0,2469302.446,1363445.642,704736.2678,704874.2882,2919554.774,2421120.599,2895898.57,2170089.064,3055942.476,1494179.643,2160555.361,21789.66142
CerP(d18:0/16:0),5278.420357,3784.780254,4195.600292,5211.620331,4177.340309,5410.500378,6219.92038,7617.480556,6472.740459,5332.88036,6116.460438,3842.680252
LPG(20:1) | PG(20:1)_2,152705.6713,137791.9895,165551.7341,167152.6904,149262.9519,173022.3335,283265.4558,222056.9939,218650.6578,222321.6517,169557.6904,87822.46655
PC(40:5),2282471.168,1751813.455,334911.4427,1305282.646,2309250.609,2434342.791,2521842.772,1819054.067,2851711.823,1583262.722,2464613.571,138808.1704
PS(P-34:4),95012.52716,97413.42755,90521.28625,107709.6891,107992.9274,322380.899,238862.8528,169622.7922,191108.6937,178535.053,136044.7892,38975.10297
[TG(58:2)]_FA16:0,57603.74419,42768.68274,34971.06287,56568.8634,64241.94409,73391.56424,227087.8967,136814.0888,163705.3709,137872.33,100270.7285,13210.5809
[TG(54:5)]_FA16:1,2424764.688,1331821.202,683108.965,693667.919,2855627.04,2333304.544,2810047.618,2142683.524,2974751.37,1444622.753,2126375.191,21799.42148
[TG(50:3)]_FA18:1,261669.0969,153839.0323,138693.1689,226837.8367,276494.9387,287887.6563,664671.1228,673879.149,557341.936,836366.6418,368410.8055,31017.76202
[TG(56:2)]_FA20:4,119626.3089,89744.34529,83345.88684,119204.2469,123887.5464,169985.6742,460828.5065,298090.221,362999.7002,328993.5068,193619.0748,19540.42137
[TG(52:0)]_FA16:1,124988.9094,90301.12735,84449.42627,108949.1687,136919.4105,152798.8516,428422.1515,314656.3608,341810.0435,343381.7401,197842.455,26867.20206
PG(O-38:0),535205.4946,451699.9951,280026.9429,497040.0762,605046.0435,652867.4537,988857.8999,370470.0455,856820.1495,447214.1108,733460.2078,40358.74289
FA(24:5),1571079.004,1520155.827,1091810.443,2371646.894,1727106.06,3038400.656,3457478.725,3108907.973,1778013.409,3056002.046,1619711.478,505308.3322
LPG(13:0) | PG(12:0),71533.96509,63503.88483,60606.74402,74595.94592,72846.60596,80991.06537,103347.7266,98521.68781,99427.5658,113235.6075,78874.06512,41527.92291
PI(30:0),179574.7727,388393.8896,380072.4858,440138.3472,121366.0087,152690.3914,171270.9105,548447.5732,531219.1182,633653.0283,178031.7335,112497.4683
[TG(54:2)]_FA20:0,197216.3942,139646.3882,122164.0703,181592.8328,182427.7525,265963.4408,602147.8378,534010.824,475400.6776,580491.183,305251.3578,21502.30136
CerP(d18:1/18:0),5638.660374,4336.600292,5119.220371,5230.600399,4830.860352,5999.540409,6831.320515,9651.460606,6438.740448,6892.720493,6253.860474,3522.860245
[TG(60:11)]_FA16:0,53036.88365,43795.14301,39473.08234,56263.94423,58269.60385,74302.8656,224971.6763,138496.2888,165010.0114,137782.0287,90926.16757,13443.641
LPS(20:5) | PS(20:5)_2,98785.7077,90784.76624,106134.0286,100010.4873,97973.00671,112452.5479,173206.0111,149906.252,140744.8695,151172.5114,107727.9675,72639.24524
PI(O-40:6) | PI(P-40:5),5284522.487,18418637.44,12683158.18,24228761.71,3396824.104,8068331.099,18881863.52,52573861.89,34899052.09,50085396.16,15791146.78,18200.38123
PI(P-30:1),48470.76353,184608.1148,143720.9517,208193.7575,32279.74191,77674.64673,60686.04452,247509.0008,274436.6809,236742.0995,48028.54335,83252.66746
[TG(58:1)]_FA16:0,65998.40445,45755.98367,39325.54297,60991.70496,69294.34521,85795.58502,245730.3968,144132.8314,185605.2528,158177.5304,108610.4676,14935.82108
[TG(58:3)]_FA16:1,59216.20444,43410.70349,35693.06247,54001.54393,64837.22484,73246.68533,222240.735,132183.3686,166769.4731,140554.2298,99068.84775,13777.94093
[TG(58:7)]_FA18:0,205315.7961,133153.8285,98508.54446,180572.3329,235549.5965,263838.3983,735074.6112,421844.2844,576331.5872,492989.7552,319784.4069,19981.6613
[TG(58:9)]_FA18:0,111518.9279,79725.88629,66139.52422,98625.92856,114407.1701,146200.1692,401726.8907,264213.0966,309783.2016,262921.7375,176199.1522,18304.90126
[TG(60:9)]_FA16:0,50503.68318,38804.42285,42571.52306,47833.94254,53154.90352,67810.32507,201717.1934,135988.0098,145757.9297,125367.3089,89807.78629,14348.50113
PG(38:2),1658685.036,1506940.796,1029482.587,1209299.714,1709244.078,1712724.816,2431627.861,1738628.972,2427637.205,1758245.983,1845608.013,42362.10291
PI(38:4),574263.6573,705831.2497,475424.0605,423237.2968,472049.523,482339.8252,484689.6178,947311.8741,1130708.987,737519.7371,449398.9818,14719.18106
[TG(54:8)]_FA18:0,213166.8103,143568.4498,115901.6078,172508.9514,218312.0574,278346.4394,674079.9572,498458.0952,552312.388,526883.4186,341037.9406,22737.52142
[TG(56:4)]_FA18:0,1700977.781,916918.8504,498416.8949,522614.9384,2066858.847,1671152.699,2073329.5,1543975.809,2137372.273,1068806.899,1515334.3,17229.58138
[TG(60:10)]_FA16:1,47806.7439,39630.16292,44956.84291,47268.86371,54341.1239,66479.68475,187738.7535,145626.8705,151577.6703,128088.0294,86147.24588,13787.16104
CE(20:4) | 18:3 Stigmasteryl ester,1649878.074,1433671.091,1078183.728,1796485.777,1605611.129,2182291.188,3639141.889,2600619.695,3109039.832,1120680.783,1184422.831,80782.82581
LPC(22:5),2194305.844,1962348.05,1149163.978,1964935.348,2711090.358,2402737.53,2755196.359,3133234.777,2237775.189,3163906.436,2737610.649,1234737.572
[TG(52:6)]_FA16:0,104818.7668,86701.82581,89609.26611,105273.7482,115301.5276,141151.5708,383970.9304,314487.9006,313072.8636,301882.4184,176569.5331,22928.62161
[TG(54:7)]_FA18:0,305905.265,208167.3351,134605.4298,242710.1184,303826.9362,426551.1298,761355.8611,828257.2535,632922.6114,921648.1758,467451.5957,21220.98151
[TG(58:8)]_FA18:0,158614.1097,106969.507,82256.64569,142793.5496,180229.3127,203103.7156,645561.7911,312240.563,466383.5528,341930.205,239281.5762,19029.50145
FA(12:0),433260.6105,505396.1552,451082.2921,448338.7108,362474.8062,565636.4596,725641.9542,764340.4944,480588.0133,682141.6083,593606.2041,192937.8125
PG(O-40:6),636826.2413,650234.5581,370334.7302,1130946.6,634253.5449,816291.5594,2766304.201,1337002.777,2459734.801,2324276.127,929996.009,52171.38364
PI(34:0),239605.6375,505319.4561,429655.0107,484714.6157,153735.791,184867.2726,252132.3569,636451.1475,610006.0635,750011.3701,248140.6586,143389.2286
[TG(54:7)]_FA20:4,278798.4438,209233.7527,155259.9275,254268.4201,253819.6176,412175.7467,762971.3829,792525.474,568693.7149,906384.1924,457439.4494,21094.0016
[TG(56:3)]_FA16:1,126470.6897,84400.36543,65148.42383,105891.7075,113253.8873,138689.272,464686.5934,244342.3369,296827.1182,281468.4623,170678.5097,16621.94113
[TG(58:0)]_FA20:0,278578.8625,214206.3318,157201.9509,405100.3632,292062.5034,391358.7014,1134237.462,532044.418,1000313.031,767589.3699,499822.3937,21557.32144
[TG(60:12)]_FA18:1,173035.5947,115451.2877,88698.02643,128372.3481,139923.9896,187230.8334,504794.5534,359321.0266,378039.2837,387838.6864,257068.7979,16510.48122
Cer(d14:1(4E)/26:0(2OH)),204244.4949,113691.3657,123723.5298,129456.1111,165320.472,239321.9566,363728.6037,414530.5676,375290.61,433500.6693,500490.3607,25092.06194
Cer(d18:1/20:0),6614.420467,4751.880348,5315.160343,5239.200329,5701.280399,6651.920498,8232.420582,10464.54073,6475.060474,6923.000511,7728.040501,3565.120239
LPC(21:0),2121198.486,1867424.736,1108448.18,1877986.268,2605749.397,2298561.652,2668212.295,3027226.472,2168388.448,3047647.138,2648391.188,1243011.84
LPC(22:6),2185612.528,1910646.054,1141471.892,1927974.831,2632356.565,2352456.548,2685153.93,3100902.777,2203003.028,3094361.686,2756100.327,1036259.466
[TG(52:0)]_FA18:1,140419.2687,103353.6665,89697.08466,127152.4672,146631.7883,186004.8723,400394.9514,387672.0435,351785.7275,450721.8322,205623.3558,25317.86177
[TG(56:2)]_FA18:0,131608.1105,88596.0463,70331.58493,111019.2275,142972.2686,171834.932,459597.0721,279884.1392,380552.7658,287981.0997,209341.6177,19416.16153
[TG(58:10)]_FA16:1,63490.24408,50945.98431,48566.62354,66392.14456,73634.62482,87803.90515,255424.619,158564.6708,203397.4351,160617.8126,116113.8276,14793.38121
[TG(60:0)]_FA20:4,88343.90536,68506.84386,55377.60435,86357.96664,92172.60573,130915.6492,287479.1825,233060.3184,238739.2586,242019.0964,163481.3127,12325.86093
Cer(d14:1(4E)/22:1(13Z)(2OH)),164897.3307,105599.4268,112786.2881,115140.5278,187335.9936,187876.8925,356460.4486,385037.765,355424.4266,506033.1134,336023.802,18640.50129
Cer(d18:0/16:0(2OH)),4910.480354,4198.740284,4662.600342,4781.80035,4711.880318,6430.7005,6784.260494,8594.580643,6297.100445,5426.700417,7126.800583,3533.820244
FA(22:4),618434.7289,473820.5741,450654.7108,610764.4644,492893.0566,771801.3889,862510.967,869863.2662,619873.1641,950629.7322,677867.9467,124764.6277
LPC(22:4),2223768.827,1962094.211,1134531.523,1979327.211,2707567.12,2391984.139,2748978.554,3204554.528,2277607.673,3156360.585,2782526.438,1463264.702
LPG(14:1) | PG(14:1),2142.740139,1936.320126,1917.740139,2107.64016,1786.70013,2063.400146,2463.120167,2190.020142,2718.080185,7860.92054,9390.100693,1523.680122
LPI(14:0) | PI(14:0)_2,2751.020195,3199.680237,3851.680302,3532.340214,2025.900124,3071.940201,3258.220268,3411.02026,3592.180279,10998.96077,1894.000145,1504.400112
PE(44:4),25370.84169,68243.36517,68421.94525,72797.94537,30581.48221,28921.56211,229032.9352,156345.452,81748.50575,146236.7086,102896.3869,21153.60163
[TG(48:0)]_FA18:0,223117.777,169138.4482,134673.5302,198513.5749,220891.8932,287182.7429,677006.4642,575454.6605,579144.3212,633483.8338,325594.6206,29830.46188
Cer(d18:0/16:0),18796.84126,13590.56105,11979.74075,19408.30141,15206.90117,14770.62098,21623.70176,27500.14182,17146.42114,17778.70116,23700.5815,4134.400284
[TG(54:0)]_FA18:1,142134.1092,99137.02658,89098.6272,125791.3878,152889.212,193378.535,471420.1758,357207.4659,372754.3719,388966.8698,219477.1565,20824.62158
[TG(58:4)]_FA20:4,277818.0986,218260.0523,153039.8133,402710.3117,295634.5572,397359.4614,1111468.432,549563.1436,953694.0713,789602.2053,501158.7953,19298.06136
PC(40:4),2480526.218,1950165.729,425338.5754,1555227.448,2387661.965,2611342.843,2760617.558,2160963.805,3153192.928,1899139.962,2748723.345,483245.8126
[TG(54:2)]_FA16:1,160448.7735,117284.3679,88836.86597,143281.8117,189662.1299,207814.8534,660239.3302,264584.6381,524233.5566,298208.2383,292202.1406,19216.1615
[TG(56:0)]_FA20:0,685437.4774,572062.6416,394901.9326,804558.521,610680.8712,952436.3347,2208872.4,1728301.235,1807707.513,2122606.917,1113763.989,72748.76453
[TG(58:9)]_FA16:1,78699.64511,62311.90474,58438.68484,73382.18588,91337.50702,100145.0075,319619.2836,191733.2748,226423.1556,188387.0129,133514.5908,17404.08098
[TG(58:9)]_FA16:0,70192.06497,50290.68359,45856.02301,61537.88359,73861.6452,90652.78662,264273.5778,161300.1705,189164.9546,168097.3332,107787.7083,15167.181
Cer(d18:0/22:0),5147.580345,4703.900349,4529.120319,5723.900394,4118.820313,4944.660305,6881.120514,8911.680641,6770.000481,5883.280396,6189.300495,3717.940289
PE(18:4),60747.68359,97365.08899,84929.58569,113356.4095,47805.18301,67504.1452,288682.4798,240071.4179,162077.6712,267871.8408,145269.4105,30514.74217
15:0 Campesteryl ester_simulated | CE(16:0),1079219.369,951385.7141,740755.8956,1179149.869,1008463.232,1246865.253,2238449.411,1898855.3,1986375.234,797935.5004,704290.8535,82824.66579
Cer(d18:2/22:0),10230.00069,5930.080383,6333.840427,6669.160435,7476.220554,9620.600685,9198.500549,9745.320721,8759.600586,11335.46083,13402.24091,4072.640282
PI(P-42:4),40096.00293,79243.44464,69421.80463,113663.2487,31834.06199,35313.46266,132569.7688,201590.1094,250860.0576,226069.5722,68003.82397,15141.00098
[TG(56:2)]_FA16:0,141722.7304,96763.52661,66751.08365,115338.5866,114461.9285,150911.7505,510493.1581,267752.698,299205.6433,311051.185,172106.0712,15853.28099
[TG(56:4)]_FA16:1,79380.96506,59260.72415,76509.40598,73289.02525,91472.34552,108958.3273,311635.8795,241473.2786,225062.4744,193561.0934,143612.3493,13568.36092
[TG(58:2)]_FA18:1,221211.0407,177143.1121,116687.0896,252169.836,198354.2957,280211.9799,706883.951,527318.9922,579483.5938,605561.8926,352724.9838,17866.00125
PE(28:1),79120.66621,141738.6108,132753.1303,236820.2563,71910.38541,87924.90559,525235.9592,360870.1437,217254.7102,427010.3715,230084.9952,61415.44427
[TG(60:4)]_FA20:0,114939.9266,91140.46623,73104.8849,130271.6486,120653.3472,163890.6494,393917.8466,288369.3202,335046.5054,320852.5822,204784.4335,15598.96114
[TG(54:8)]_FA18:1,360749.6378,270472.1135,153754.2531,283773.4174,349089.8026,514343.1757,888319.4001,946329.6462,735311.6924,1101994.225,546343.0815,30049.74231
[TG(56:3)]_FA18:2,130703.6286,103597.9678,80896.02612,146446.2503,142868.1504,186859.1929,555525.5995,230953.093,437408.4836,299813.9639,245174.218,24857.04184
PG(O-38:4),174294.9518,149570.0696,242583.1151,173597.6936,204451.1151,221060.1771,380909.7424,326624.561,308751.1207,216210.3536,211925.196,39066.32294
[TG(56:3)]_FA20:0,200283.4913,147945.7108,121517.2671,256440.5159,206383.3736,268973.2357,747997.5973,406553.2043,609064.2504,550003.4795,360771.4063,25416.62189
[TG(58:8)]_FA16:0,82264.86624,62495.54443,54419.7442,75083.40561,92119.30634,106833.8667,319169.5031,191680.3143,229622.9561,193706.7927,132773.8118,19020.98117
PE(30:2),59827.92333,173657.033,223754.1517,202444.7687,38766.00276,65676.58473,541812.8397,483170.9156,110692.5895,468636.7878,259140.7803,20103.78152
PE(30:3),32480.12225,97721.46622,87032.28656,114530.7477,26188.94179,57990.78387,238181.2164,236876.5612,80320.08443,274864.0983,140420.8688,20685.02136
PS(40:7),485197.814,436817.692,306028.4402,424889.3906,587699.0432,661828.9628,944142.0143,416712.4463,830010.8645,493541.176,706404.7048,46177.22339
[TG(52:0)]_FA18:0,296654.2997,271428.0396,189477.1132,235153.5968,313962.9609,463802.6206,747002.7178,728743.8923,626554.3386,1346556.655,462315.1917,71442.68457
[TG(52:1)]_FA20:0,152209.05,108633.4662,99727.0267,169686.5732,160023.4501,195477.2525,459379.7524,375587.4113,372050.889,517908.2789,241465.5792,22103.84152
[TG(54:1)]_FA16:0,162135.471,123455.5486,89250.88583,146954.9293,189137.0746,220692.873,673721.672,265598.1782,526121.1374,304011.9205,298033.9587,19017.62137
[TG(58:3)]_FA18:2,216592.1938,169043.1916,112797.8685,234779.7328,199837.9947,263211.597,686427.2973,512280.8545,546870.4753,579547.2927,330399.7896,19453.0415
[TG(60:1)]_FA18:1,126740.6069,78785.40372,59870.2831,85296.5054,87433.58601,116104.3878,396375.2074,209198.3936,243703.1552,262319.9558,143703.7895,16261.00131
[TG(60:10)]_FA18:0,88671.3866,71355.48647,53674.14365,76545.80466,99718.92767,123753.3888,309915.5582,226209.0551,233048.8174,219090.0159,149430.4297,13649.56107
[TG(60:4)]_FA18:1,241733.7769,160082.4487,96407.10597,207342.5543,148984.913,221989.2936,888835.4994,360421.171,513890.5528,449697.5905,243843.8601,36669.32242
15:0 Campesteryl ester_simulated | CE(16:0)_2,1085620.936,937100.1421,743276.175,1167731.267,1032479.035,1245769.456,2232529.319,1885534.85,2002967.853,810840.9322,746897.0465,74475.86528
Cer(d18:0/h24:0),5841.800468,4809.600323,5074.58036,5218.980412,5344.700363,6176.440453,7444.540489,10377.44079,6440.700455,7261.540508,7154.840466,3490.580276
Cer(d18:2/20:0),6000.780411,5160.180355,4837.200352,5641.220425,5498.060421,6723.480431,7045.140533,7481.620487,7290.320522,9053.62067,8728.40062,3652.140247
LPI(17:0),2962811.566,5905464.033,4204584.957,6134023.91,2570049.685,3401301.533,4298155.393,5025359.863,6843751.366,12512243.21,3118459.211,86287.10681
PE(42:3),33447.80242,109501.8469,122914.5079,118263.7083,39868.18243,54811.6844,370167.6628,265462.9189,111936.108,254865.1187,152140.3911,75133.82596
PI(32:2),132220.3684,281876.9204,372531.8213,313279.8828,87505.40674,114936.6683,134485.99,545604.4214,415544.4106,487899.4917,127436.0287,84482.74609
PI(O-38:4) | PI(P-38:3),78048.80592,130537.5278,179458.4321,117950.0084,61746.62535,78133.68611,88719.4058,273984.1005,238615.5351,189530.1522,55511.04472,16753.38136
PS(O-40:1),497799.3374,477803.7158,291421.8414,389334.9355,588817.7255,656419.4172,936941.3325,375918.4307,863027.4364,432802.3672,765437.3014,45290.28351
[TG(52:6)]_FA16:1,95689.32663,65466.22543,93940.58783,80274.04422,102187.6469,110845.8876,334999.1665,275488.1187,267568.1781,235810.6169,142256.6918,17700.60117
PS(O-42:4),210177.7944,205601.294,151909.8694,194658.5753,271683.9626,281841.8587,426884.654,232275.1357,356290.7451,260655.5598,292908.9651,35148.58276
[TG(60:5)]_FA18:2,239411.2762,150082.9497,93818.68669,205465.2727,142626.6523,215927.4752,855174.8652,357854.8639,492680.1938,437724.6695,234246.8391,38377.94241
PS(O-38:3)_2,568684.3223,501695.3676,346463.2272,508095.3162,679210.1985,687931.5049,1119620.159,423011.547,1022557.728,523844.0371,804606.8009,47597.30322
[TG(48:1)]_FA18:1,198257.2129,149142.3102,128851.0264,188060.0717,210291.0149,275556.1037,621076.446,501240.4905,512602.1982,588426.1469,318078.6641,35556.76221
[TG(60:2)]_FA20:4,122784.97,96635.38705,85075.34536,151829.9099,128967.0701,193287.594,478629.0365,295420.5574,382344.9461,328565.0823,229156.1563,15346.02125
LPC(18:1),369060.485,279859.4551,37723.88272,319835.0576,336748.7804,376183.5334,921365.0416,735475.2955,937867.8311,731240.0786,400065.6691,33821.68259
Cer(d14:1(4E)/20:0(2OH)),120018.8688,60184.06423,68657.16518,74804.76531,99077.80624,127112.0681,207369.5753,250363.3384,181915.7904,240332.936,270041.0994,22665.30173
CerP(d18:1/14:0),6420.520405,4970.20034,5155.340363,4936.680351,5721.92041,7235.760521,7747.560509,11060.66083,6412.000511,7444.540546,8092.040565,3557.380253
[TG(50:1)]_FA18:1,133153.6483,101967.2078,109204.2273,117849.5299,144944.8711,178899.0931,392928.0475,415322.8862,341822.8055,400563.0291,204575.1118,21293.26169
[TG(56:7)]_FA18:2,344831.0639,221967.0536,154579.7518,162868.993,422488.7178,363377.7373,536271.0972,387965.8412,447737.8937,352437.3652,290784.5003,20745.26151
[TG(58:0)]_FA18:2,81999.88506,66474.42474,53901.92346,88908.5061,77879.04517,112353.5262,306190.4623,175369.0145,240500.6786,205428.4536,139302.0688,16506.88115
PE(40:0) | PE(P-42:6),158293.2107,384480.3932,318284.5649,459802.453,128452.2865,121927.6683,1055904.746,782915.1669,488973.9779,839727.007,521114.8589,201054.8172
[TG(56:7)]_FA16:0,187060.8528,127502.6507,95978.76794,147635.5898,216129.274,228989.4378,643626.0811,374529.3706,501458.4097,429335.5517,272041.5227,26866.78165
[TG(54:0)]_FA16:0,541720.5574,403956.3326,262902.8837,525269.0344,479125.1677,722605.4452,1509980.908,1467559.537,1183780.187,1499684.761,743245.1318,25203.76199
[TG(60:2)]_FA18:2,121884.6878,74932.18542,57973.30431,87599.96594,86018.1257,113885.6477,377188.5676,203403.6145,239891.1764,249141.8774,142886.2515,18328.90135
LPC(18:0),361798.6495,273263.2385,37453.74281,319975.9678,317815.3805,358325.2084,898225.6985,699158.5182,928202.3468,694952.4679,383955.5598,36511.50262
LPS(19:0),178452.7318,162822.6517,127855.5481,187016.9725,162719.9315,219346.1366,333677.6691,211703.7162,283030.5596,252878.8732,186196.9537,161312.1919
PI(O-18:0),2803580.817,5725914.87,4007578.596,5998903.635,2646636.443,3333476.861,4498870.918,4770159.753,6683242.051,12060120.44,3157937.868,73936.90509
[TG(60:2)]_FA18:0,80513.14732,61131.72516,45681.0031,72696.92523,79532.62592,103032.227,275803.3199,179383.8314,201279.7955,190780.9529,127117.049,13117.02097
