Sample,cKO_injured_1,cKO_injured_2,cKO_injured_3,cKO_injured_4,cKO_injured_5,cKO_healthy_1,cKO_healthy_2,cKO_healthy_3,cKO_healthy_4,cKO_healthy_5,cKO_healthy_6,Blank-1x
PE(O-34:1),195705.9128,152616.1891,143972.371,130373.1288,56632.50407,68429.2645,168615.0717,158902.7912,202719.2334,41393.52242,200980.9535,21920.24158
PI(P-42:4),57287.88345,108950.1467,110311.7272,41152.42241,82160.52507,252449.8801,253335.297,218856.5989,110411.3487,50977.62331,275494.0422,15141.00098
PS(P-42:4),347554.7292,267369.5802,245276.9537,212683.5959,422068.9519,344002.9866,321088.9648,228863.3578,313538.5245,206419.733,296295.9231,34356.72235
[TG(54:2)]_FA18:0,770701.6809,414103.0115,453742.0117,439888.8311,925616.6776,3055513.47,1049436.705,939584.8994,1239034.268,727714.9479,1038828.148,121732.5697
LPI(22:2) | PI(22:2),46519.04326,125360.5712,118036.07,55447.52451,45749.94341,260737.5978,275825.5803,221868.7358,93921.38704,44841.34334,283660.583,19027.34148
FA(17:1),628173.3427,329672.463,550093.1799,1043993.307,1278099.894,6716548.954,771425.3326,751581.9731,1475325.991,568285.1837,682397.0009,172610.3324
FA(28:0),4162727.565,2058818.825,2211149.5,2119389.836,3327258.303,6368668.794,6862937.622,6316491.172,7491804.383,4022515.541,5780042.118,219020.2945
[TG(60:3)]_FA18:0,302771.5406,194133.812,239544.6993,203126.8711,571277.7373,631301.803,689648.4933,673007.5036,691821.3533,329077.7444,1003980.865,26903.16183
PI(O-34:3) | PI(P-34:2),52456.24377,134501.8295,117790.0082,51765.78386,66295.10482,298994.3801,279248.6953,220956.6375,68358.86496,62505.58446,313061.9191,13664.8211
[TG(60:11)]_FA18:0,336503.8793,161991.413,188975.0114,179659.1522,427706.013,612389.0644,642772.4035,622677.7577,619089.21,387054.033,465592.0189,11866.06084
LPE(14:1),1575.500114,1849.900116,1705.840134,1802.880127,1586.380104,1460.560112,1720.28014,1824.820133,1763.560131,1577.740112,1773.220116,1678.020115
LPI(16:0) | PI(16:0),278011.6543,367147.2926,351459.9207,179563.91,236047.36,773215.024,893116.3657,665477.8868,444134.3814,291837.3774,933804.7856,44593.80322
[TG(58:1)]_FA20:4,224866.7764,118713.1272,113191.2094,113574.5096,246495.1582,402655.5079,409023.3543,347024.4303,394848.8069,196874.6351,392881.9114,18581.64145
[TG(60:12)]_FA18:1,251236.2582,134767.3293,138495.3117,152100.1918,312872.6052,452877.8123,489651.7361,493311.8133,488560.7357,285335.5814,365389.14,16510.48122
PI(O-32:1) | PI(P-32:0),113396.888,314607.8378,206134.3741,88280.2865,103802.9478,794636.192,349505.0647,392532.9249,141290.2502,95976.06671,651800.4224,26491.12183
PS(42:11),374912.4894,281336.8611,258140.3188,249222.4727,413063.6436,369976.4493,324738.3842,273719.1991,334743.3237,225018.5983,306788.2429,37693.3623
[TG(48:3)]_FA16:0,152071.5107,76592.78613,77328.90616,74266.20488,175247.9732,305007.1801,242664.5364,185423.0929,269252.4588,157614.691,280663.1154,29251.94206
LPI(22:1) | PI(22:1),72982.16541,229084.6346,195891.9164,64549.30405,65388.40497,429495.2469,409635.692,343142.6445,129536.9106,79448.10544,470695.4309,30714.20215
[TG(56:1)]_FA16:0,354192.8069,186505.5096,201721.1967,167650.0129,415628.0278,581435.6597,613873.9223,599556.3004,616033.9899,357472.9591,659495.6431,18662.7614
PS(36:2),866823.1395,563998.6799,529736.6235,557646.1992,1015644.492,897848.863,698945.7286,529353.7806,751548.2322,468100.8994,769619.8877,61074.12457
PI(40:2),100660.3664,133264.9495,147991.6912,61607.10417,182788.1738,330516.0802,354295.9451,269750.6013,146592.9299,97050.38583,527904.9776,12092.12078
LPI(20:4) | PI(20:4)_2,66537.0455,92995.92627,87697.34497,44016.92288,51981.14354,196087.998,236004.5735,172687.9534,86513.28667,60862.82407,218152.8932,18842.98106
PE(22:4),138451.9509,98947.12671,96463.34497,91988.00635,57062.32452,67286.56501,116493.0095,110262.7885,126637.8489,45575.64264,128978.0083,50285.82289
LPI(22:1) | PI(22:1)_2,69689.60481,217156.4587,187402.6757,55693.4635,68905.38544,414802.9218,396108.45,326597.7207,90843.20641,74849.28561,452413.6527,32898.2621
LPI(16:0) | PI(16:0)_2,287513.9006,353391.7805,355677.7423,196946.2339,209620.0139,772770.7006,911580.0242,657640.5033,423124.3372,282320.3781,895403.3641,39907.44272
PS(O-40:2),336005.0218,257824.3218,240849.7169,230464.9965,385254.2299,350805.4864,304731.0201,247814.6591,309534.3829,208578.0159,283804.5618,38487.68256
[TG(50:2)]_FA18:1,591457.8046,356222.5454,366011.8669,487846.9355,646826.7688,1536127.454,1087594.502,1040797.287,1156424.168,666062.2881,1024639.405,95509.14734
lanosteryl palmitoleate | 18:2 Campesteryl ester,1477679.119,1651768.939,1735282.985,1761452.716,1275716.84,4082287.862,4641859.149,3837234.457,4459583.217,1571003.497,3924054.47,39470.20304
LPI(20:3) | PI(20:3)_2,72031.86424,114680.8875,111877.5085,52019.80345,45080.70257,234724.4564,251429.217,207662.9938,99097.34651,73394.10386,261547.6958,23304.48147
Cer(d18:1/18:0),92057.22559,10314.58075,25663.78204,13592.38089,30683.84208,23409.30161,63382.98434,44351.04387,50301.58347,114944.5061,82409.22528,3574.84026
LPC(2:0),229172.8354,114138.3267,140266.848,186892.0323,122853.0487,67096.22519,502945.7727,407500.627,443095.5501,278609.2629,415207.4469,18753.40137
PI(42:10),49363.6032,78447.62555,79320.88498,36624.86252,74958.90561,212017.2953,190849.754,148927.1715,80796.60669,59090.52421,188745.1541,10673.24067
PE(O-30:0),263298.1396,202189.5967,188829.3157,196801.1335,107175.1258,139016.0694,258979.7179,224287.3564,271348.1373,68269.3049,252967.9806,29022.20212
PS(40:5),472320.5114,336042.121,300194.5181,282156.0999,580727.1172,464324.2535,405599.4476,310437.4222,424577.645,276603.7546,427435.9489,40158.28271
18:1 Campesteryl ester,1406696.652,1641756.628,1707497.104,1712748.758,1219592.428,4002003.944,4477974.755,3672621.907,4339608.172,1518235.576,3820909.724,44848.22305
PE(O-40:2),177569.3929,137742.7683,124946.1697,127662.0286,100435.9682,68634.64548,180427.5297,163748.7905,184361.7742,52280.36394,186709.8538,23933.04147
CerP(d18:1/26:1(17Z)),8268.140617,4974.400349,4638.660309,4677.740337,5812.20042,5623.360435,5293.440388,4079.140293,5100.200352,7202.420544,4682.760292,11089.92054
18:3 Campesteryl ester,1567910.276,1641256.635,1707117.055,1767703.882,1238930.479,4045757.434,4580462.106,3777282.473,4373657.011,1635778.759,3889693.06,43290.78319
PE(40:8),269273.9562,211514.3563,212970.9141,186130.0527,168087.5324,155040.2126,264052.575,238263.4957,272815.1394,101946.4862,269929.0205,30380.98197
PI(O-30:1),145562.5502,464184.6889,292833.6239,117047.6275,165179.1736,1034944.457,494605.8542,524260.4152,240352.1583,144266.2484,965716.2091,22481.24149
[TG(60:4)]_FA18:1,275112.1595,167738.8719,215466.3787,192874.5787,477439.5753,494062.7439,599448.4604,563449.3825,679073.136,266672.9827,860144.2012,36669.32242
[TG(48:3)]_FA18:2,462342.9735,257119.6606,190353.615,208871.592,392416.3918,855180.9586,531740.6946,526310.931,806492.9176,376386.7883,779064.27,26126.90195
[TG(48:2)]_FA16:1,361226.1423,227480.3766,187620.0948,185196.7552,376655.1672,924643.2753,423145.9915,473709.4098,723547.5403,305964.7195,615240.9206,41236.74298
PI(P-32:1),37514.44298,114981.5479,106107.8082,42788.64302,47728.2229,262833.7784,219312.213,193681.0113,45363.78282,44642.62296,240894.0011,20496.12135
PE(36:3),259270.972,213838.1115,178901.3142,180109.1899,131519.8884,70690.80518,256403.7213,250221.0389,269156.0231,104787.568,251106.0575,24313.64165
[TG(48:1)]_FA16:0,356983.964,236880.074,185877.4751,186388.6119,372414.4658,927140.2758,425017.0931,478652.4078,707991.5747,304254.7195,609647.6221,40776.94269
[TG(56:7)]_FA20:0,498530.9553,226539.5551,220954.5341,244849.8557,405705.514,775495.4989,735070.7075,576329.6162,762067.0456,464256.4272,730879.0046,23997.82172
PE(O-38:6),233161.4985,164101.132,161102.8112,164389.4329,121899.3291,87020.30634,220336.3134,204867.0538,236786.1755,81090.02451,229913.2747,22679.6216
PE(40:5),235677.3196,182392.7723,183140.8128,168056.7917,103579.1677,102247.3075,226303.0567,197434.8917,234041.9159,103368.7071,235327.2565,29124.16217
PS(28:1),956584.1069,836165.1016,857842.582,585509.2637,1486045.376,1154282.491,936486.2373,784325.21,1025745.757,723365.8916,977085.7959,248021.8984
LPI(20:4) | PI(20:4),66304.12509,98246.8483,94533.66751,41916.62347,44329.2832,204035.915,222955.8167,175453.3356,86645.04351,55663.54332,214940.3962,18737.34128
PG(O-40:2),293947.1577,228868.977,228410.9159,192647.9153,349599.8436,322613.0543,277763.5822,215144.6958,286463.8992,203073.093,244731.476,37260.16223
[TG(54:3)]_FA20:4,346140.9225,188983.0112,163604.0707,184475.5907,296988.6802,538237.5794,591879.2017,460818.7155,559761.4797,324293.9194,528491.2113,31430.92239
[TG(50:4)]_FA16:1,265902.2604,164359.1896,162078.912,157978.3289,292984.1405,760089.0466,405887.0137,369762.0834,491421.7322,261727.9154,392075.708,35977.5025
PE(40:4),185400.7128,139580.1898,141893.4119,141146.1713,97137.20705,98188.04663,182134.1938,156933.3315,193079.2518,71486.14404,194881.8901,27512.06204
[TG(60:5)]_FA18:2,274442.6578,165529.2909,209925.5125,179947.2132,480712.4008,483650.2998,582859.7252,544275.2419,647077.0552,262136.0365,836343.0181,38377.94241
[TG(50:4)]_FA18:2,381142.7267,243409.5198,191507.7906,208580.1724,363424.4834,880771.2515,482442.481,496037.5922,744768.6122,322796.2805,634169.9905,55874.98419
18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated | 17:0 sitosteryl ester_simulated_2,1372738.161,1388758.97,1439751.315,1478946.155,1060287.562,3305293.135,3949305.086,3111396.024,3649054.771,1356532.741,3225093.738,43657.76313
PE(40:2),257914.9983,191333.836,215485.8158,183486.5163,127363.209,111659.7669,238824.5772,242014.5338,269176.2208,79770.08578,310415.2041,34155.56221
PI(32:5),32142.88247,109988.5076,101112.6869,39266.92253,44674.88342,218841.0974,236157.718,194011.3749,41826.70246,38170.70282,205297.793,14061.3009
[TG(52:5)]_FA20:4,410894.0463,234109.4578,196307.4927,193777.9125,383296.4666,812623.4208,555626.907,495045.9841,721343.9017,348568.4661,658809.0251,27916.36182
18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated | 17:0 sitosteryl ester_simulated,1256352.539,1413090.973,1455954.714,1495422.846,1117535.263,3325030.561,3967283.64,3089492.122,3672599.276,1351368.237,3231594.508,39621.24271
PE(18:0),208443.5786,162044.1298,149768.8716,143119.9692,108265.687,133836.5878,199591.0538,172751.1302,208199.8738,75962.48643,191469.8755,39639.66263
[TG(54:4)]_FA18:1,475905.9135,256290.7006,266034.7819,246591.7368,603578.4009,1804594.002,626733.1476,497455.7596,692355.6278,425178.2302,615272.3441,44278.60339
[TG(60:8)]_FA20:4,311322.3624,164250.893,148573.8523,152433.0102,291214.6599,438871.8565,590831.1206,471459.1556,470983.4985,293329.2599,398949.3259,14107.28101
PC(50:0),88851.26491,48440.66258,41227.4232,43932.96325,57293.84316,44434.00303,164498.5313,147073.9872,138194.0881,81281.42654,127543.2498,7126.98048
PE(38:3),209052.4967,154604.1892,158930.8118,151777.3121,104692.5271,96400.48718,208411.2361,193644.1346,215486.9961,73246.70573,209403.3943,26900.30175
LPC(15:1),499950.6756,254543.5134,254366.1151,292676.0443,306186.9042,222462.0544,950942.2745,753475.882,842996.6394,525849.7293,771619.759,24600.32175
LPS(12:0) | PS(12:0)_2,62828.74461,4942.080418,46291.2437,34193.1022,2595.120201,108676.6691,3439.640251,74788.44378,64815.08386,60919.96462,72641.76429,11291.92084
[TG(54:8)]_FA20:0,367142.3443,181523.6935,151547.7881,157892.1129,333261.6631,642489.8651,451515.3102,385742.6896,616171.8398,292037.0969,586498.8369,18218.72131
PE(38:0),325067.4842,269066.2191,229446.0338,220609.2952,174175.3528,168422.3712,311565.4993,280860.8008,331736.203,127303.2688,328866.2632,35317.44241
LPC(15:0),474897.0526,234774.9361,244980.2175,286596.2986,276131.1146,205397.3568,906593.2374,718186.8879,800674.9153,489097.7313,730898.4072,20977.2014
PI(P-42:2),48170.90387,73667.06485,73384.64502,35270.88234,62904.84459,193084.2322,168499.2513,127983.5297,58703.86481,56858.62344,183024.7944,11786.92085
PI(30:4),36640.36253,91468.20651,83957.12604,29702.3223,41576.26302,185657.831,199716.5139,158262.5913,36900.36247,34288.10231,175332.0524,13999.18098
[TG(60:1)]_FA18:2,127060.1673,69285.30518,66100.32582,69543.82504,150251.0286,232315.2371,215270.674,197341.0942,240865.4951,114975.7284,206021.0944,15146.3811
LPE(18:0),244565.5787,179600.2709,171224.7319,171504.713,116466.8481,156591.3312,228890.5559,202555.5332,227513.8939,92931.18597,219755.9146,57649.50391
LPE(20:5),288705.4585,239655.9175,233397.6763,235545.5562,153630.0309,166259.1725,269915.1187,298643.0405,307371.2393,149877.9303,274400.9971,211274.1569
[TG(50:3)]_FA16:0,277919.2404,161088.9111,167926.7516,165517.2299,298382.3408,757480.2675,414398.0088,373512.2456,495515.8564,264774.1412,404295.2671,35852.04221
LPI(22:0) | PI(22:0)_2,140295.1303,327290.2855,335114.2635,124378.2102,200503.0551,786437.5752,591847.6196,493092.2393,220329.877,131829.2907,909430.5225,51439.36338
PG(38:2),1843342.298,1612119.911,1541467.602,1583216.038,1956732.73,2095566.154,1815606.994,2058687.607,1933777.951,1370859.159,1268924.469,42362.10291
PI(28:0),111279.2669,360531.1511,343444.0225,94531.02682,153336.7916,774371.4404,683313.0442,640000.613,143746.0696,105969.9273,628065.6055,36833.62265
PI(30:1),93173.22647,350497.009,248672.0785,82610.46623,116134.8273,741107.9058,401263.0057,469288.6659,192943.1715,92865.74741,607899.2637,31252.34264
[TG(54:3)]_FA18:0,461885.3555,247750.837,272705.9968,243471.5196,592134.4667,1693253.695,630319.2318,503648.3975,691172.3938,417732.913,612059.4691,42845.28262
[TG(50:1)]_FA18:1,247637.2572,123505.8281,128704.409,125387.1683,254380.1008,430727.1328,405559.8101,318841.704,401106.9121,234077.455,390185.0836,21293.26169
LPI(20:5) | PI(20:5)_2,66821.06462,95201.02661,102743.6479,49614.80411,52324.54395,189959.7707,223915.175,193732.8182,94868.86755,70739.54379,217119.7554,30791.00223
PI(30:2),57167.76382,143986.9114,137297.1271,44799.60309,71919.70523,308652.003,273397.9376,242984.0364,72504.52574,67521.36548,283244.1817,26717.40183
PS(38:5),380293.2047,270825.7595,248211.2147,255554.5013,428885.6063,375495.9823,359608.4092,274460.4246,341431.6239,236593.7584,353239.0266,53100.44366
PC(44:5),116586.509,76519.62527,74823.38543,74186.4045,110523.0081,50820.38354,107965.7875,98656.46609,107374.5066,77990.90555,106847.4287,14282.72098
[TG(52:0)]_FA18:1,251307.4557,132532.59,129520.8085,135208.2874,252381.4601,438404.2717,408415.4928,324239.5801,402537.488,253428.8961,394803.0937,25317.86177
Cer(d14:1(4E)/22:1(13Z)(2OH)),377232.7878,113693.5877,131136.929,98265.98679,324953.6819,513968.1128,414786.2685,353356.1307,381825.8625,361002.124,388953.2487,18640.50129
PE(P-16:0),323743.6107,187420.2935,176126.4934,185652.695,162663.3703,348180.6446,544896.7217,555854.1002,520765.4954,231288.8797,445647.4672,30877.64183
PS(O-38:4),307199.5615,242724.5188,208912.0536,200327.1348,330759.4463,321336.681,280121.5601,222976.5743,287668.4978,202738.1135,272619.9171,45116.3031
[TG(52:1)]_FA20:4,206477.7749,104534.1473,106696.8091,107504.3476,184481.4552,310420.4203,349963.6025,264540.9811,324703.821,199194.8147,301825.9159,16651.22132
1-O-behenoyl-Cer(d18:1/16:0),5852.460442,4118.460285,4033.060287,3878.980267,5075.180344,5428.220371,3938.700275,4248.760307,4174.160294,5481.920395,4148.680309,3583.220245
Cer(d18:1/2:0),3969.760269,3576.26025,3527.500263,3574.500248,4035.280281,4005.640293,3757.100285,3737.980293,3614.04026,4204.900269,3586.540257,3421.360245
FA(26:0),4076158.468,1694315.307,2195804.673,2196561.659,3180567.887,5268416.498,5222179.496,4327699.247,7032028.329,4148529.348,6968237.815,226402.695
PG(36:3),420002.5264,326597.66,287937.6782,263128.497,459613.6135,474414.1309,381640.0309,285984.1785,386878.7507,289738.9974,335867.485,38447.62271
PI(34:3),51376.10419,141763.1881,132610.2097,50707.564,77424.82516,330720.5654,276524.8001,222468.0553,84023.74464,64772.66443,265660.3994,15855.66115
[TG(56:5)]_FA18:0,828154.5095,367923.3431,485868.2335,464452.9288,756939.9605,669162.977,571368.6753,504398.2347,625522,454943.8309,700720.1475,15548.06122
[TG(56:7)]_FA20:4,509651.9426,283861.339,256927.279,267592.4774,516211.2177,1417980.361,722362.7642,570324.638,750370.7538,443767.1095,643268.4685,40895.92303
[TG(52:0)]_FA18:0,441969.3293,254435.5393,270137.657,424578.7332,541473.6155,1067566.201,856018.8372,652940.3267,796603.9602,688967.7285,752541.0822,71442.68457
[TG(48:0)]_FA18:0,377375.0913,226426.9791,207159.1354,224419.5914,391627.1865,733341.6136,650859.1261,572863.8075,643262.8496,365656.9191,576158.3863,29830.46188
1-O-lignoceroyl-Cer(d18:1/16:0),5089.660343,3764.140251,3621.560265,3531.780231,4383.060299,4048.440308,4089.560307,3639.140263,4162.040302,4686.000328,4047.540291,3428.300247
[TG(54:7)]_FA18:1,240936.6384,114581.9668,128954.1097,116321.928,256779.935,404165.3644,393402.028,306768.4435,379496.1469,237918.978,365230.045,22541.70157
[TG(60:0)]_FA18:1,124381.1701,70107.30418,70846.76475,67933.78452,152219.1711,231315.758,217703.9106,196973.494,229815.9173,113675.1085,206168.3547,12305.66088
PI(P-28:0),179772.0532,603765.2946,418024.75,94052.52665,203235.015,1205090.98,677749.5775,662258.18,271703.7584,162568.4312,1140736.355,11081.92093
[TG(48:0)]_FA18:2,162421.8497,84830.34612,90361.84618,93279.64627,150293.8709,243722.8784,301442.1209,229756.3185,267675.1841,159240.4291,233849.7789,22883.76167
[TG(52:4)]_FA20:0,147763.8903,77758.52507,75043.80518,70885.94521,142495.2099,220222.7352,251338.5153,188460.032,232849.1553,136434.989,228067.3351,14481.08106
[TG(60:0)]_FA20:4,175960.0116,92101.20756,88653.94562,87308.30585,205156.1343,279934.3793,302782.5849,237187.8168,319289.7812,160232.791,283437.4164,12325.86093
Cer(d18:1/18:1(9Z)),91641.66716,10037.04074,24381.52158,13836.78078,33251.66242,22533.64161,57608.44382,42759.7029,47108.52322,112077.6304,77266.5451,3572.060253
CerP(d18:1/12:0),91240.66621,11322.64093,25481.52163,13412.061,30091.10199,20537.16188,61514.4246,38701.44206,47325.42292,111983.406,77626.44488,3562.300259
CerP(d18:1/26:0),9116.140629,4842.300362,4715.64032,4267.120285,6070.000408,6724.020496,4556.340332,4798.960354,4893.02034,7706.840591,5057.560364,9914.120789
LPE(20:1),222088.5186,146394.0708,141965.67,139439.3701,93176.06819,121751.908,204931.8342,170653.5093,198651.3149,73677.18504,198761.3149,24139.76169
LPE(14:0),1595.660118,1765.420116,1701.160126,1621.000122,1590.74012,1524.56012,2032.980145,2015.880154,1681.76012,1614.520119,1627.560123,1479.660095
PC(44:8),129934.1666,89089.70706,82155.96552,87619.96603,111265.5278,48203.9631,122650.2888,115934.2095,125706.4296,88148.06656,117670.209,16114.16112
[TG(54:7)]_FA20:0,697762.2329,318041.2065,285151.975,308811.8412,663880.8672,1164945.286,857227.2328,718265.1843,1034459.411,624342.7755,1049605.064,22729.42177
[TG(60:4)]_FA20:4,7986581.756,5747458.633,4605801.809,3319682.905,6847221.718,12202971.37,11963105.25,15924114.48,11624006.9,7233766.878,10289035.48,40900.82312
PC(44:3),108694.2277,70448.98608,71380.82443,66380.52426,95691.20737,48758.92368,99609.94595,89492.92603,100856.1472,74402.10616,95309.18732,13966.82095
PC(52:0),55081.00429,29498.60181,28733.0022,30084.52234,44510.38339,42297.70303,99746.64542,90821.38548,88884.10571,51315.48364,86361.9464,5988.60041
PC(O-44:3),143116.6118,91923.92725,94874.70776,93913.56744,130715.4489,58240.78345,136726.7888,125703.4467,145070.7316,97535.10736,122777.6079,17586.10107
PE(40:9),181838.1922,130874.8281,132713.8489,123535.3093,101289.0473,80573.12526,178676.0939,170572.3297,198413.7131,61532.36493,189717.452,30975.82233
LPC(7:0),149242.0502,131747.6709,130396.5906,127874.7683,118109.0281,71007.90521,167969.6531,150923.1923,152091.4713,139615.8901,146202.891,104613.1872
PG(28:1),740757.4717,653425.9094,664480.4907,435276.6948,1110904.644,918084.8943,747991.0723,622314.3616,828995.9263,593748.9561,742109.374,142358.5308
Stearidonyl carnitine,5211504.918,5189640.102,4772462.059,5106684.994,5145108.068,4806343.637,4099899.085,4224435.438,4376023.034,5228083.699,9590592.137,1100202.317
[TG(52:3)]_FA20:4,256714.4182,136765.2498,129582.6675,131305.8103,253778.2375,410740.893,425765.4677,329006.6219,416314.0911,235443.7775,389194.7925,17281.1412
[TG(54:0)]_FA18:0,637663.723,300076.6409,330163.7003,605516.5211,735617.5659,1174556.298,1324776.676,929450.0078,1087224.526,847113.4368,1062254.128,50780.76447
FA(16:0),5640369.882,4770426.86,5486492.027,4845030.098,5113027.003,5568809.042,3646961.432,5811554.065,5163038.895,6936173.981,4509060.183,3408274.17
[TG(60:0)]_FA18:0,205652.077,117383.9875,129413.0678,130191.5878,353839.3052,477195.0914,381310.406,368577.6416,432764.332,211136.0966,392439.7686,10897.16071
PE(O-36:0),199995.6914,142996.8696,130821.1491,133628.2292,96865.40721,65353.94447,189889.3737,177860.1512,238750.7771,47900.74333,218314.157,18446.30121
PE(38:0)_2,317002.803,270218.1613,221020.2144,213371.5159,170213.5306,174771.6325,317445.3834,287916.4197,339648.5002,125716.8685,321270.3044,27809.92204
[TG(54:8)]_FA18:2,213957.1932,114621.9493,110458.3675,119453.9683,216710.3605,364213.0859,351364.5692,270075.1161,361702.5069,205217.4337,331320.0829,28328.58176
[TG(60:1)]_FA20:4,302278.4205,172102.6126,159636.7304,154551.2539,372165.8679,515791.3411,550309.063,517307.7145,498742.6161,306922.724,382174.7415,12311.1209
O-oleoylcarnitine | Elaidic carnitine,4318063.413,4828490.965,4087918.372,4346792.457,4198776.052,4414064.374,3328591.171,3426781.98,4009535.623,4407352.114,8433699.832,1027604.653
[TG(54:8)]_FA18:0,376631.4628,188176.374,193541.0127,201276.9147,436946.3314,704535.6048,618689.1287,500476.6016,616751.228,355802.1042,563133.8801,22737.52142
Cer(d14:1(4E)/22:0(2OH)),372991.6066,110971.1288,121267.8092,96793.18633,313618.4821,466850.7781,383450.1485,350925.6017,385439.5694,347438.2083,353436.0656,18859.58145
PE(14:1),1703.920116,1531.400108,1643.080116,1632.340118,1604.300106,1514.16011,1990.220139,1785.140114,1673.740116,1594.100113,1803.260117,1476.840111
1-O-tricosanoyl-Cer(d18:1/16:0),4923.140335,3911.040257,3995.740307,3865.660255,4681.060337,4674.660355,3747.100273,3998.440277,3961.740276,5636.340427,4099.060287,3450.980244
[TG(52:1)]_FA18:1,551019.1846,332444.8809,365683.2129,562159.2427,681498.2019,1392931.721,1073849.355,847212.9468,1024562.556,849680.311,956053.7271,109249.9695
[TG(54:1)]_FA20:0,320123.5077,167913.8309,153508.2913,174085.8729,286533.7202,595074.5426,464416.6763,391159.5311,501496.3243,275107.4225,454455.3301,65630.86462
[TG(58:2)]_FA18:0,271618.9173,156926.5925,181676.6521,170165.4321,420738.1313,497838.0557,518211.0741,466536.1101,507843.5677,279096.4573,635145.3309,14580.12096
PE(O-34:2),237517.2582,175252.5521,175704.3521,180938.8937,77752.78525,116340.1081,263552.5008,226524.5939,251794.4581,55199.28453,241866.1936,26248.90181
"Linoelaidyl carnitine | O-linoleoylcarnitine | 9,12-Hexadecadienylcarnitine",5459029.475,5325274.859,5237342.287,4588833.941,5164315.299,5357620.785,3984383.25,4176504.073,4928253.099,4895887.435,9798287.188,1090622.943
LPE(18:3),266690.3798,145464.192,128434.9871,143623.6087,127163.8675,230595.7763,453296.9801,384890.9498,418619.8541,154441.41,389039.513,25971.14197
[TG(52:0)]_FA20:4,954619.3195,494448.9215,552209.8209,579221.7495,1228484.44,1836963.317,1364964.201,1127699.758,1835047.552,923425.1165,2147609.181,13763.28091
PC(44:2),96229.86601,66503.52497,61812.40369,62788.08354,91292.14648,41336.24284,95959.12607,80405.14639,95837.88658,69401.68468,89881.68628,14095.36093
FA(14:1),2277477.372,2164864.054,2343070.574,1769055.162,2193260.049,2389994.408,1958454.936,2481233.754,2366991.379,2215613.141,2229295.9,1905441.675
LPI(20:5) | PI(20:5),61711.00478,99129.8067,105753.2075,55167.68347,53555.12425,182305.4539,229732.7383,187987.9282,93006.96613,73570.68649,220369.5345,32258.3822
15:0 Campesteryl ester_simulated | CE(16:0),789697.7373,1044348.439,981364.4656,1085905,711964.9706,2066060.155,2288244.313,2131322.026,2176563.486,888156.2967,2696200.427,82824.66579
1-O-carboceroyl-Cer(d18:1/16:0),5216.740372,3582.860237,4081.800316,3601.680244,4236.880306,4441.940342,3718.380264,3969.820278,3614.980259,5576.68042,4055.040291,4646.720367
Cer(d20:0/26:0),82489.00484,723109.9013,14138.56097,12971.66094,120564.4283,122976.5098,21008.94132,64888.28352,897382.4205,972553.693,22905.5418,3579.960255
PI(38:6),100776.9266,273590.5001,337222.6078,137149.4106,443483.7527,377851.9652,313545.6025,263397.6809,107909.3081,243020.5932,347981.6636,19836.60138
SM(d18:2/14:0),388176.8704,224726.3542,211272.9136,227546.2975,265932.9998,201590.9127,738871.2378,631619.6659,645042.6073,411836.0497,549376.4607,29877.522
CerP(d18:1/2:0),4243.380333,3512.800232,3525.780258,3688.96027,3892.860268,4369.260319,4287.340313,3661.48027,3822.460274,4123.500309,3696.700264,3441.740246
LPI(18:4) | PI(18:4)_2,70482.82593,111098.6074,103757.6087,51797.60373,70086.48444,219400.478,242233.237,203703.2759,100495.0852,62401.92467,231824.4181,22948.3615
PC(48:0),96245.56675,49136.14294,47679.26252,46100.92299,69381.86476,40237.34311,174219.7322,143588.6723,150268.9514,96314.5466,126299.8285,7447.640537
[TG(54:6)]_FA20:0,212179.3969,112513.428,101327.0458,100647.4473,201318.1346,322765.3997,328207.8447,250387.2531,329502.2863,195823.6339,303603.9003,16815.44121
[TG(48:0)]_FA16:0,505868.2969,326644.0823,312243.6196,453177.0242,560058.9995,1198175.152,871202.4434,870452.5408,995488.3877,540877.6431,849730.9583,112665.7272
CE(20:5),1180285.712,1487157.084,1472513.102,1506832.094,1191717.036,3266444.619,3716260.159,3172285.755,3439907.042,1372025.772,2935721.692,40848.14288
PC(52:4),64091.22438,36853.92279,32333.12201,36015.18242,48382.42357,47410.08392,117892.6275,102580.9865,104564.5859,56465.5635,96924.28714,7449.30048
[TG(56:8)]_FA20:0,370044.4791,179152.3932,180059.7723,185093.653,322420.8391,535921.0836,581042.7413,451301.5745,551280.0449,337093.6013,486450.3556,20226.1814
PE(O-40:4),149834.8514,114259.8888,107995.6066,108268.9872,84273.52631,86556.00696,151281.8306,137272.869,156551.1121,59816.9041,164094.8507,25189.44189
PS(36:3),482047.4696,346202.8218,303914.1403,294554.9749,524426.7777,527337.1095,445315.9294,336928.2654,451467.9763,309051.7424,401726.4121,47204.22345
PS(38:6),517174.9588,372603.7625,334011.5057,312728.8639,597975.8407,519950.8646,497759.093,379873.5696,484780.2701,347876.9232,462244.3904,48020.20313
[TG(52:1)]_FA20:0,327296.1652,169746.9329,133595.0907,137052.7679,301774.3796,545870.9608,391059.5655,343716.9865,512526.7927,253177.9179,482894.9027,22103.84152
